Wavelength (nm),Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
330.26,5.198e-5,5.198e-5,,
330.31,1.102e-5,1.102e-5,,
330.36,2.231e-6,2.231e-6,,
330.41,4.311e-7,4.311e-7,,
330.46,7.953e-8,7.953e-8,,
330.51,1.401e-8,1.401e-8,,
330.56,2.356e-9,2.356e-9,,
332.46,5.843e-9,5.843e-9,,
332.51,3.385e-8,3.385e-8,,
332.56,1.875e-7,1.875e-7,,
332.61,9.935e-7,9.935e-7,,
332.66,5.033e-6,5.033e-6,,
332.71,2.438e-5,2.438e-5,,
332.76,1.130e-4,1.130e-4,,
332.81,5.005e-4,5.005e-4,,
332.86,2.121e-3,2.121e-3,,
332.91,8.592e-3,8.592e-3,,
332.96,3.329e-2,3.329e-2,,
333.01,1.233e-1,1.233e-1,,
333.06,4.370e-1,4.370e-1,,
333.11,1.481e+0,1.481e+0,,
333.16,4.797e+0,4.797e+0,,
333.21,1.486e+1,1.486e+1,,
333.26,4.404e+1,4.404e+1,,
333.31,1.248e+2,1.248e+2,,
333.36,3.382e+2,3.382e+2,,
333.41,8.762e+2,8.762e+2,,
333.46,2.171e+3,2.171e+3,,
333.51,5.145e+3,5.145e+3,,
333.56,1.166e+4,1.166e+4,,
333.61,2.526e+4,2.526e+4,,
333.66,5.235e+4,5.235e+4,,
333.71,1.037e+5,1.037e+5,,
333.76,1.966e+5,1.966e+5,,
333.81,3.563e+5,3.563e+5,,
333.86,6.175e+5,6.175e+5,,
333.91,1.024e+6,1.024e+6,,
333.96,1.623e+6,1.623e+6,,
334.01,2.461e+6,2.461e+6,,
334.06,3.569e+6,3.569e+6,,
334.11,4.955e+6,4.955e+6,,
334.16,6.586e+6,6.586e+6,,
334.21,8.387e+6,8.387e+6,,
334.26,1.025e+7,1.025e+7,,
334.31,1.203e+7,1.203e+7,,
334.36,1.362e+7,1.362e+7,,
334.41,1.495e+7,1.495e+7,,
334.46,1.602e+7,1.602e+7,,
334.51,1.694e+7,1.694e+7,,
334.56,1.787e+7,1.787e+7,,
334.61,1.906e+7,1.906e+7,,
334.66,2.071e+7,2.071e+7,,
334.71,2.296e+7,2.296e+7,,
334.76,2.579e+7,2.579e+7,,
334.81,2.902e+7,2.902e+7,,
334.86,3.231e+7,3.231e+7,,
334.91,3.520e+7,3.520e+7,,
334.96,3.724e+7,3.724e+7,,
335.01,3.804e+7,3.804e+7,,
335.06,3.739e+7,3.739e+7,,
335.11,3.527e+7,3.527e+7,,
335.16,3.189e+7,3.189e+7,,
335.21,2.762e+7,2.762e+7,,
335.26,2.292e+7,2.292e+7,,1.262e-18
335.31,1.822e+7,1.822e+7,,7.229e-18
335.36,1.390e+7,1.390e+7,,3.962e-17
335.41,1.026e+7,1.026e+7,,2.078e-16
335.46,7.441e+6,7.441e+6,,1.043e-15
335.51,5.536e+6,5.536e+6,,5.008e-15
335.56,4.579e+6,4.579e+6,,2.302e-14
335.61,4.601e+6,4.601e+6,,1.013e-13
335.66,5.652e+6,5.652e+6,,4.262e-13
335.71,7.811e+6,7.811e+6,,1.717e-12
335.76,1.116e+7,1.116e+7,,6.620e-12
335.81,1.572e+7,1.572e+7,,2.443e-11
335.86,2.144e+7,2.144e+7,,8.624e-11
335.91,2.810e+7,2.810e+7,,2.914e-10
335.96,3.528e+7,3.528e+7,,9.423e-10
336.01,4.241e+7,4.241e+7,,2.916e-9
336.06,4.878e+7,4.878e+7,,8.637e-9
336.11,5.368e+7,5.368e+7,,2.448e-8
336.16,5.653e+7,5.653e+7,,6.639e-8
336.21,5.695e+7,5.695e+7,,1.723e-7
336.26,5.490e+7,5.490e+7,,4.281e-7
336.31,5.063e+7,5.063e+7,,1.018e-6
336.36,4.468e+7,4.468e+7,,2.315e-6
336.41,3.772e+7,3.772e+7,,5.040e-6
336.46,3.047e+7,3.047e+7,,1.050e-5
336.51,2.355e+7,2.355e+7,,2.094e-5
336.56,1.741e+7,1.741e+7,,3.996e-5
336.61,1.232e+7,1.232e+7,,7.297e-5
336.66,8.337e+6,8.337e+6,,1.275e-4
336.71,5.399e+6,5.399e+6,,2.133e-4
336.76,3.346e+6,3.346e+6,,3.413e-4
336.81,1.983e+6,1.983e+6,,5.228e-4
336.86,1.125e+6,1.125e+6,,7.664e-4
336.91,6.106e+5,6.106e+5,,1.075e-3
336.96,3.171e+5,3.171e+5,,1.443e-3
337.01,1.575e+5,1.575e+5,,1.854e-3
337.06,7.487e+4,7.487e+4,,2.280e-3
337.11,3.405e+4,3.405e+4,,2.682e-3
337.16,1.482e+4,1.482e+4,,3.020e-3
337.21,6.169e+3,6.169e+3,,3.255e-3
337.26,2.457e+3,2.457e+3,,3.356e-3
337.31,9.365e+2,9.365e+2,,3.312e-3
337.36,3.415e+2,3.415e+2,,3.128e-3
337.41,1.191e+2,1.191e+2,,2.828e-3
337.46,3.977e+1,3.977e+1,,2.446e-3
337.51,1.270e+1,1.270e+1,,2.025e-3
337.56,3.883e+0,3.882e+0,,1.604e-3
337.61,1.136e+0,1.135e+0,,1.216e-3
337.66,3.184e-1,3.175e-1,,8.821e-4
337.71,8.559e-2,8.498e-2,,6.125e-4
337.76,2.217e-2,2.176e-2,,4.070e-4
337.81,5.591e-3,5.332e-3,,2.588e-4
337.86,1.407e-3,1.250e-3,,1.575e-4
337.91,3.721e-4,2.804e-4,,9.171e-5
337.96,1.113e-4,6.017e-5,,5.111e-5
338.01,3.962e-5,1.236e-5,,2.726e-5
338.06,1.634e-5,2.427e-6,,1.391e-5
338.11,7.253e-6,4.563e-7,,6.796e-6
338.16,3.259e-6,8.207e-8,,3.177e-6
338.21,1.435e-6,1.412e-8,,1.421e-6
338.26,6.092e-7,7.035e-10,,6.085e-7
338.31,2.493e-7,,,2.493e-7
338.36,9.775e-8,,,9.775e-8
338.41,3.668e-8,,,3.668e-8
338.46,1.317e-8,,,1.317e-8
338.51,4.526e-9,,,4.526e-9
338.56,1.488e-9,,,1.488e-9
338.61,4.685e-10,,,4.685e-10
338.66,1.411e-10,,,1.411e-10
338.71,4.067e-11,,,4.067e-11
338.76,1.122e-11,,,1.122e-11
338.81,2.962e-12,,,2.962e-12
338.86,7.482e-13,,,7.482e-13
338.91,1.809e-13,,,1.809e-13
338.96,4.185e-14,,,4.185e-14
339.01,9.267e-15,,,9.267e-15
339.06,1.964e-15,,,1.964e-15
339.11,3.982e-16,,,3.982e-16
339.16,7.727e-17,,,7.727e-17
339.21,1.435e-17,,,1.435e-17
339.26,2.551e-18,,,2.551e-18
339.31,4.338e-19,,,4.338e-19
345.41,1.728e-9,1.728e-9,,
345.46,9.400e-9,9.400e-9,,
345.51,4.906e-8,4.906e-8,,
345.56,2.457e-7,2.457e-7,,
345.61,1.180e-6,1.180e-6,,
345.66,5.440e-6,5.440e-6,,
345.71,2.406e-5,2.406e-5,,
345.76,1.021e-4,1.021e-4,,
345.81,4.155e-4,4.155e-4,,
345.86,1.623e-3,1.623e-3,,
345.91,6.082e-3,6.082e-3,,
345.96,2.186e-2,2.186e-2,,
346.01,7.542e-2,7.542e-2,,
346.06,2.496e-1,2.496e-1,,
346.11,7.925e-1,7.925e-1,,
346.16,2.414e+0,2.414e+0,,
346.21,7.057e+0,7.057e+0,,
346.26,1.979e+1,1.979e+1,,
346.31,5.324e+1,5.324e+1,,
346.36,1.374e+2,1.374e+2,,
346.41,3.404e+2,3.404e+2,,
346.46,8.088e+2,8.088e+2,,
346.51,1.844e+3,1.844e+3,,
346.56,4.033e+3,4.033e+3,,
346.61,8.464e+3,8.464e+3,,
346.66,1.704e+4,1.704e+4,,
346.71,3.292e+4,3.292e+4,,
346.76,6.102e+4,6.102e+4,,
346.81,1.085e+5,1.085e+5,,
346.86,1.851e+5,1.851e+5,,
346.91,3.030e+5,3.030e+5,,
346.96,4.759e+5,4.759e+5,,
347.01,7.171e+5,7.171e+5,,
347.06,1.037e+6,1.037e+6,,
347.11,1.438e+6,1.438e+6,,
347.16,1.913e+6,1.913e+6,,
347.21,2.443e+6,2.443e+6,,
347.26,2.993e+6,2.993e+6,,
347.31,3.517e+6,3.517e+6,,
347.36,3.966e+6,3.966e+6,,
347.41,4.290e+6,4.290e+6,,
347.46,4.453e+6,4.453e+6,,
347.51,4.435e+6,4.435e+6,,
347.56,4.238e+6,4.238e+6,,
347.61,3.885e+6,3.885e+6,,
