Wavelength (nm),Sum,Mg I (4.9e-01),Mg II (5.1e-01),Mg III (4.2e-06)
418.34,8.441e+0,8.441e+0,,
418.39,3.292e+0,3.292e+0,,
418.44,1.248e+0,1.248e+0,,
418.49,4.594e-1,4.594e-1,,
418.54,1.644e-1,1.644e-1,,
418.59,5.714e-2,5.714e-2,,
418.64,1.930e-2,1.930e-2,,
418.69,6.333e-3,6.333e-3,,
418.74,2.019e-3,2.019e-3,,
418.79,6.256e-4,6.256e-4,,
418.84,1.883e-4,1.883e-4,,
418.89,5.508e-5,5.508e-5,,
418.94,1.565e-5,1.565e-5,,
418.99,4.321e-6,4.321e-6,,
419.04,1.159e-6,1.159e-6,,
419.09,3.022e-7,3.022e-7,,
419.14,7.652e-8,7.652e-8,,
419.19,1.883e-8,1.883e-8,,
419.24,4.502e-9,4.502e-9,,
432.59,1.183e-8,1.183e-8,,
432.64,4.606e-8,4.606e-8,,
432.69,1.747e-7,1.747e-7,,
432.74,6.455e-7,6.455e-7,,
432.79,2.323e-6,2.323e-6,,
432.84,8.140e-6,8.140e-6,,
432.89,2.778e-5,2.778e-5,,
432.94,9.235e-5,9.235e-5,,
432.99,2.990e-4,2.990e-4,,
433.04,9.428e-4,9.428e-4,,
433.09,2.895e-3,2.895e-3,,
433.14,8.660e-3,8.660e-3,,
433.19,2.523e-2,2.523e-2,,
433.24,7.157e-2,7.157e-2,,
433.29,1.978e-1,1.978e-1,,
433.34,5.323e-1,5.323e-1,,
433.39,1.395e+0,1.395e+0,,
433.44,3.562e+0,3.562e+0,,
433.49,8.856e+0,8.856e+0,,
433.54,2.144e+1,2.144e+1,,
433.59,5.058e+1,5.058e+1,,
433.64,1.162e+2,1.162e+2,,
433.69,2.599e+2,2.599e+2,,
433.74,5.663e+2,5.663e+2,,
433.79,1.202e+3,1.202e+3,,
433.84,2.484e+3,2.484e+3,,
433.89,5.000e+3,5.000e+3,,
433.94,9.802e+3,9.802e+3,,
433.99,1.872e+4,1.872e+4,,
434.04,3.481e+4,3.481e+4,,
434.09,6.304e+4,6.304e+4,,
434.14,1.112e+5,1.112e+5,,
434.19,1.911e+5,1.911e+5,,
434.24,3.197e+5,3.197e+5,,
434.29,5.211e+5,5.211e+5,,
434.34,8.271e+5,8.271e+5,,
434.39,1.279e+6,1.279e+6,,
434.44,1.925e+6,1.925e+6,,
434.49,2.823e+6,2.823e+6,,
434.54,4.032e+6,4.032e+6,,
434.59,5.608e+6,5.608e+6,,
434.64,7.597e+6,7.597e+6,,
434.69,1.002e+7,1.002e+7,,
434.74,1.288e+7,1.288e+7,,
434.79,1.612e+7,1.612e+7,,
434.84,1.965e+7,1.965e+7,,
434.89,2.333e+7,2.333e+7,,
434.94,2.698e+7,2.698e+7,,
434.99,3.038e+7,3.038e+7,,
435.04,3.332e+7,3.332e+7,,
435.09,3.559e+7,3.559e+7,,
435.14,3.703e+7,3.703e+7,,
435.19,3.752e+7,3.752e+7,,
435.24,3.703e+7,3.703e+7,,
435.29,3.559e+7,3.559e+7,,
435.34,3.332e+7,3.332e+7,,
