Wavelength (nm),Sum,Mg I (7.9e-03),Mg II (7.2e-01),Mg III (2.7e-01)
276.39,1.477e-1,1.477e-1,,
276.44,7.528e-1,7.528e-1,,
276.49,3.596e+0,3.596e+0,,
276.54,1.610e+1,1.610e+1,,
276.59,6.759e+1,6.759e+1,,
276.64,2.660e+2,2.660e+2,,
276.69,9.815e+2,9.815e+2,,
276.74,3.396e+3,3.396e+3,,
276.79,1.102e+4,1.102e+4,,
276.84,3.353e+4,3.353e+4,,
276.89,9.573e+4,9.573e+4,,
276.94,2.565e+5,2.565e+5,,
276.99,6.450e+5,6.450e+5,,
277.04,1.524e+6,1.524e+6,,
277.09,3.382e+6,3.382e+6,,
277.14,7.062e+6,7.062e+6,,
277.19,1.388e+7,1.388e+7,,
277.24,2.573e+7,2.573e+7,,
277.29,4.504e+7,4.504e+7,,
277.34,7.465e+7,7.465e+7,,
277.39,1.175e+8,1.175e+8,4.853e-6,
277.44,1.761e+8,1.761e+8,4.116e-5,
277.49,2.525e+8,2.525e+8,3.273e-4,
277.54,3.477e+8,3.477e+8,2.441e-3,
277.59,4.615e+8,4.615e+8,1.708e-2,
277.64,5.926e+8,5.926e+8,1.120e-1,
277.69,7.375e+8,7.375e+8,6.892e-1,
277.74,8.900e+8,8.900e+8,3.977e+0,
277.79,1.041e+9,1.041e+9,2.152e+1,
277.84,1.177e+9,1.177e+9,1.092e+2,
277.89,1.284e+9,1.284e+9,5.196e+2,
277.94,1.349e+9,1.349e+9,2.319e+3,
277.99,1.363e+9,1.363e+9,9.705e+3,
278.04,1.325e+9,1.325e+9,3.810e+4,
278.09,1.240e+9,1.239e+9,1.402e+5,
278.14,1.119e+9,1.118e+9,4.841e+5,
278.19,9.774e+8,9.759e+8,1.567e+6,
278.24,8.301e+8,8.254e+8,4.759e+6,
278.29,6.915e+8,6.780e+8,1.355e+7,
278.34,5.773e+8,5.411e+8,3.619e+7,
278.39,5.098e+8,4.191e+8,9.065e+7,
278.44,5.272e+8,3.142e+8,2.129e+8,
278.49,6.964e+8,2.271e+8,4.692e+8,
278.54,1.128e+9,1.576e+8,9.700e+8,
278.59,1.986e+9,1.045e+8,1.882e+9,
278.64,3.494e+9,6.598e+7,3.428e+9,
278.69,5.908e+9,3.952e+7,5.868e+9,
278.74,9.480e+9,2.240e+7,9.458e+9,
278.79,1.441e+10,1.199e+7,1.439e+10,
278.84,2.080e+10,6.048e+6,2.080e+10,
278.89,2.878e+10,2.872e+6,2.878e+10,
278.94,3.866e+10,1.283e+6,3.866e+10,
278.99,5.135e+10,5.386e+5,5.135e+10,
279.04,6.878e+10,2.124e+5,6.878e+10,
279.09,9.427e+10,7.863e+4,9.427e+10,
279.14,1.323e+11,2.732e+4,1.323e+11,
279.19,1.878e+11,8.909e+3,1.878e+11,
279.24,2.645e+11,2.726e+3,2.645e+11,
279.29,3.624e+11,7.821e+2,3.624e+11,
279.34,4.769e+11,2.105e+2,4.769e+11,
279.39,5.970e+11,5.314e+1,5.970e+11,
279.44,7.075e+11,1.258e+1,7.075e+11,
279.49,7.915e+11,2.792e+0,7.915e+11,
279.54,8.351e+11,5.813e-1,8.351e+11,
279.59,8.313e+11,1.149e-1,8.313e+11,
279.64,7.819e+11,2.916e-2,7.819e+11,
279.69,6.969e+11,4.815e-2,6.969e+11,
279.74,5.919e+11,2.224e-1,5.919e+11,
279.79,4.843e+11,1.036e+0,4.843e+11,
279.84,3.892e+11,4.543e+0,3.892e+11,
279.89,3.179e+11,1.871e+1,3.179e+11,
279.94,2.759e+11,7.235e+1,2.759e+11,
279.99,2.639e+11,2.628e+2,2.639e+11,
280.04,2.776e+11,8.967e+2,2.776e+11,
280.09,3.089e+11,2.874e+3,3.089e+11,
280.14,3.471e+11,8.655e+3,3.471e+11,
280.19,3.808e+11,2.450e+4,3.808e+11,
280.24,4.002e+11,6.516e+4,4.002e+11,
280.29,3.985e+11,1.629e+5,3.985e+11,
280.34,3.744e+11,3.832e+5,3.744e+11,
280.39,3.308e+11,8.478e+5,3.308e+11,
280.44,2.746e+11,1.765e+6,2.746e+11,
280.49,2.141e+11,3.459e+6,2.141e+11,
280.54,1.567e+11,6.384e+6,1.567e+11,
280.59,1.076e+11,1.110e+7,1.076e+11,
280.64,6.936e+10,1.821e+7,6.934e+10,
280.69,4.196e+10,2.818e+7,4.193e+10,
280.74,2.384e+10,4.116e+7,2.380e+10,
280.79,1.273e+10,5.680e+7,1.267e+10,
280.84,6.406e+9,7.410e+7,6.332e+9,
280.89,3.060e+9,9.145e+7,2.969e+9,
280.94,1.413e+9,1.068e+8,1.306e+9,
280.99,6.574e+8,1.182e+8,5.391e+8,
281.04,3.328e+8,1.240e+8,2.088e+8,
281.09,1.992e+8,1.233e+8,7.590e+7,
281.14,1.421e+8,1.162e+8,2.589e+7,
281.19,1.121e+8,1.039e+8,8.284e+6,
281.24,9.051e+7,8.802e+7,2.488e+6,
281.29,7.142e+7,7.072e+7,7.009e+5,
281.34,5.402e+7,5.384e+7,1.853e+5,
281.39,3.887e+7,3.882e+7,4.597e+4,
281.44,2.651e+7,2.650e+7,1.070e+4,
281.49,1.711e+7,1.711e+7,2.338e+3,
281.54,1.045e+7,1.045e+7,4.791e+2,
281.59,6.027e+6,6.027e+6,9.214e+1,
281.64,3.283e+6,3.283e+6,1.663e+1,
281.69,1.688e+6,1.688e+6,2.816e+0,
281.74,8.188e+5,8.188e+5,4.474e-1,
281.79,3.744e+5,3.744e+5,6.670e-2,
281.84,1.614e+5,1.614e+5,9.331e-3,
281.89,6.551e+4,6.551e+4,1.225e-3,
281.94,2.505e+4,2.505e+4,1.509e-4,
281.99,9.016e+3,9.016e+3,,
282.04,3.054e+3,3.054e+3,,
282.09,9.736e+2,9.736e+2,,
282.14,2.920e+2,2.920e+2,,
282.19,8.234e+1,8.234e+1,,
282.24,2.184e+1,2.184e+1,,
282.29,5.446e+0,5.446e+0,,
282.34,1.277e+0,1.277e+0,,
282.39,2.813e-1,2.813e-1,,
282.44,5.825e-2,5.825e-2,,
282.49,1.134e-2,1.134e-2,,
282.54,2.073e-3,2.073e-3,,
282.59,3.562e-4,3.562e-4,,
282.64,5.750e-5,5.750e-5,,
282.69,8.720e-6,8.720e-6,,
282.74,1.242e-6,1.242e-6,,
282.79,1.662e-7,1.662e-7,,
282.84,1.968e-8,1.968e-8,,
282.89,2.336e-9,2.336e-9,,
282.94,1.407e-9,1.407e-9,,
282.99,1.154e-8,1.154e-8,,
