analysis_unit,classification,combination,conversion_description,correlation,element,equivalent_maximum,equivalent_median_nonzero,equivalent_minimum_nonzero,maximum,median_nonzero,metadata_column,metadata_samples,minimum_nonzero,missing_values,negative_samples,other_element,p10_nonzero,p25_nonzero,p50_nonzero,p75_nonzero,p90_nonzero,positive_percentage,positive_samples,positive_values,raw_unit,reason,record_type,samples,threshold,unit,zero_values
,,none,,,,,,,,,,,,,,,,,,,,,,,,,combination,7,,,
,,Mn + Cd + Mg + Cu + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,7,,,
,,Zn + Cd + Cu + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,7,,,
,,Cd + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,4,,,
,,Zn + Mn + Cd + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,2,,,
,,Mn + Cd + Mg,,,,,,,,,,,,,,,,,,,,,,,,,combination,2,,,
,,Cu + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,2,,,
,,Mn + Mg,,,,,,,,,,,,,,,,,,,,,,,,,combination,2,,,
,,Zn + Cd + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Zn + Mn + Cd + Mg + Cu,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Zn + Mn + Cd + Mg,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Cu,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Zn + Mn + Cu + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Zn + Cu + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Mn + Cd + Mg + Cu,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Zn + Cd + Cu,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
,,Cd + Cu + Pb,,,,,,,,,,,,,,,,,,,,,,,,,combination,1,,,
