Wavelength (nm),Sum,Fe I (6.3e-01),Fe II (3.7e-01),Fe III (5.1e-07)
408.3,2.679e+7,2.679e+7,,6.165e-10
408.4,2.036e+7,2.036e+7,,5.736e-10
408.5,1.538e+7,1.538e+7,,5.185e-10
408.6,1.161e+7,1.161e+7,,4.556e-10
408.7,8.767e+6,8.767e+6,,3.894e-10
408.8,6.641e+6,6.641e+6,,3.241e-10
408.9,5.045e+6,5.045e+6,,2.632e-10
409,3.835e+6,3.835e+6,,2.090e-10
409.1,2.908e+6,2.908e+6,,1.628e-10
409.2,2.191e+6,2.191e+6,,1.251e-10
409.3,1.633e+6,1.633e+6,,9.534e-11
409.4,1.201e+6,1.201e+6,,7.269e-11
409.5,8.719e+5,8.719e+5,,5.592e-11
409.6,6.271e+5,6.271e+5,,4.379e-11
409.7,4.536e+5,4.536e+5,,3.515e-11
409.8,3.413e+5,3.413e+5,,2.907e-11
409.9,2.835e+5,2.835e+5,,2.488e-11
410,2.768e+5,2.768e+5,,2.217e-11
410.1,3.220e+5,3.220e+5,,2.089e-11
410.2,4.241e+5,4.241e+5,,2.127e-11
410.3,5.926e+5,5.926e+5,,2.393e-11
410.4,8.412e+5,8.412e+5,,2.991e-11
410.5,1.187e+6,1.187e+6,,4.076e-11
410.6,1.649e+6,1.649e+6,,5.859e-11
410.7,2.246e+6,2.246e+6,,8.612e-11
410.8,2.994e+6,2.994e+6,,1.267e-10
410.9,3.903e+6,3.903e+6,,1.840e-10
411,4.973e+6,4.973e+6,,2.618e-10
411.1,6.192e+6,6.192e+6,,3.637e-10
411.2,7.531e+6,7.531e+6,,4.922e-10
411.3,8.949e+6,8.949e+6,,6.480e-10
411.4,1.039e+7,1.039e+7,,8.297e-10
411.5,1.181e+7,1.181e+7,,1.033e-9
411.6,1.314e+7,1.314e+7,,1.249e-9
411.7,1.436e+7,1.436e+7,,1.469e-9
411.8,1.544e+7,1.544e+7,,1.680e-9
411.9,1.640e+7,1.640e+7,,1.868e-9
412,1.730e+7,1.730e+7,,2.020e-9
412.1,1.820e+7,1.820e+7,,2.128e-9
412.2,1.921e+7,1.921e+7,,2.185e-9
412.3,2.044e+7,2.044e+7,,2.192e-9
412.4,2.195e+7,2.195e+7,,2.154e-9
412.5,2.382e+7,2.382e+7,,2.085e-9
412.6,2.604e+7,2.604e+7,,1.999e-9
412.7,2.859e+7,2.859e+7,,1.916e-9
412.8,3.138e+7,3.138e+7,,1.853e-9
412.9,3.431e+7,3.431e+7,,1.827e-9
413,3.727e+7,3.727e+7,,1.848e-9
413.1,4.015e+7,4.015e+7,,1.922e-9
413.2,4.290e+7,4.290e+7,,2.045e-9
413.3,4.548e+7,4.548e+7,,2.206e-9
413.4,4.793e+7,4.793e+7,,2.391e-9
413.5,5.028e+7,5.028e+7,,2.576e-9
413.6,5.259e+7,5.259e+7,,2.741e-9
413.7,5.490e+7,5.490e+7,,2.864e-9
413.8,5.718e+7,5.718e+7,,2.928e-9
413.9,5.936e+7,5.936e+7,,2.920e-9
414,6.131e+7,6.131e+7,,2.839e-9
414.1,6.286e+7,6.286e+7,,2.686e-9
414.2,6.381e+7,6.381e+7,,2.473e-9
414.3,6.400e+7,6.400e+7,,2.215e-9
414.4,6.333e+7,6.333e+7,,1.930e-9
414.5,6.179e+7,6.179e+7,,1.638e-9
414.6,5.942e+7,5.942e+7,,1.357e-9
414.7,5.640e+7,5.640e+7,,1.100e-9
414.8,5.293e+7,5.293e+7,,8.813e-10
414.9,4.924e+7,4.924e+7,,7.079e-10
415,4.554e+7,4.554e+7,,5.856e-10
415.1,4.199e+7,4.199e+7,,5.178e-10
415.2,3.872e+7,3.872e+7,,5.069e-10
415.3,3.573e+7,3.573e+7,,5.541e-10
415.4,3.302e+7,3.302e+7,,6.603e-10
415.5,3.051e+7,3.051e+7,,8.253e-10
415.6,2.812e+7,2.812e+7,,1.047e-9
415.7,2.576e+7,2.576e+7,,1.321e-9
415.8,2.338e+7,2.338e+7,,1.638e-9
415.9,2.096e+7,2.096e+7,,1.987e-9
416,1.851e+7,1.851e+7,,2.348e-9
416.1,1.608e+7,1.608e+7,,2.703e-9
416.2,1.374e+7,1.374e+7,,3.026e-9
416.3,1.155e+7,1.155e+7,,3.296e-9
416.4,9.600e+6,9.600e+6,,3.492e-9
416.5,7.939e+6,7.939e+6,,3.597e-9
416.6,6.616e+6,6.616e+6,,3.603e-9
416.7,5.658e+6,5.658e+6,,3.510e-9
416.8,5.079e+6,5.079e+6,,3.326e-9
416.9,4.876e+6,4.876e+6,,3.065e-9
417,5.040e+6,5.040e+6,,2.747e-9
417.1,5.559e+6,5.559e+6,,2.395e-9
417.2,6.417e+6,6.417e+6,,2.031e-9
417.3,7.600e+6,7.600e+6,,1.676e-9
417.4,9.096e+6,9.096e+6,,1.346e-9
417.5,1.089e+7,1.089e+7,,1.053e-9
417.6,1.298e+7,1.298e+7,,8.013e-10
417.7,1.534e+7,1.534e+7,,5.943e-10
417.8,1.794e+7,1.794e+7,,4.298e-10
417.9,2.076e+7,2.076e+7,,3.034e-10
418,2.375e+7,2.375e+7,,2.094e-10
418.1,2.685e+7,2.685e+7,,1.418e-10
418.2,3.000e+7,3.000e+7,,9.455e-11
418.3,3.314e+7,3.314e+7,,6.257e-11
418.4,3.622e+7,3.622e+7,,4.151e-11
418.5,3.919e+7,3.919e+7,,2.802e-11
418.6,4.205e+7,4.205e+7,,1.958e-11
418.7,4.480e+7,4.480e+7,,1.440e-11
418.8,4.751e+7,4.751e+7,,1.126e-11
418.9,5.022e+7,5.022e+7,,9.351e-12
419,5.302e+7,5.302e+7,,8.161e-12
419.1,5.597e+7,5.597e+7,,7.382e-12
419.2,5.909e+7,5.909e+7,,6.834e-12
419.3,6.235e+7,6.235e+7,,6.420e-12
419.4,6.566e+7,6.566e+7,,6.091e-12
419.5,6.883e+7,6.883e+7,,5.829e-12
419.6,7.165e+7,7.165e+7,,5.635e-12
419.7,7.385e+7,7.385e+7,,5.521e-12
419.8,7.515e+7,7.515e+7,,5.506e-12
419.9,7.532e+7,7.532e+7,,5.618e-12
420,7.421e+7,7.421e+7,,5.899e-12
420.1,7.175e+7,7.175e+7,,6.406e-12
420.2,6.799e+7,6.799e+7,,7.226e-12
420.3,6.310e+7,6.310e+7,,8.487e-12
420.4,5.734e+7,5.734e+7,,1.037e-11
420.5,5.103e+7,5.103e+7,,1.315e-11
420.6,4.455e+7,4.455e+7,,1.718e-11
420.7,3.824e+7,3.824e+7,,2.290e-11
420.8,3.243e+7,3.243e+7,,3.086e-11
420.9,2.736e+7,2.736e+7,,4.167e-11
421,2.322e+7,2.322e+7,,5.595e-11
421.1,2.011e+7,2.011e+7,,7.423e-11
421.2,1.803e+7,1.803e+7,,9.689e-11
421.3,1.694e+7,1.694e+7,,1.240e-10
421.4,1.677e+7,1.677e+7,,1.552e-10
421.5,1.737e+7,1.737e+7,,1.896e-10
421.6,1.862e+7,1.862e+7,,2.260e-10
421.7,2.038e+7,2.038e+7,,2.624e-10
421.8,2.250e+7,2.250e+7,,2.968e-10
421.9,2.486e+7,2.486e+7,,3.270e-10
422,2.735e+7,2.735e+7,,3.507e-10
422.1,2.987e+7,2.987e+7,,3.664e-10
422.2,3.234e+7,3.234e+7,,3.730e-10
422.3,3.468e+7,3.468e+7,,3.703e-10
422.4,3.684e+7,3.684e+7,,3.592e-10
422.5,3.879e+7,3.879e+7,,3.412e-10
422.6,4.049e+7,4.049e+7,,3.187e-10
422.7,4.194e+7,4.194e+7,,2.943e-10
422.8,4.314e+7,4.314e+7,,2.707e-10
422.9,4.408e+7,4.408e+7,,2.506e-10
423,4.477e+7,4.477e+7,,2.358e-10
423.1,4.521e+7,4.521e+7,,2.275e-10
423.2,4.539e+7,4.539e+7,,2.262e-10
423.3,4.531e+7,4.531e+7,,2.314e-10
423.4,4.496e+7,4.496e+7,,2.421e-10
423.5,4.437e+7,4.437e+7,,2.564e-10
423.6,4.357e+7,4.357e+7,,2.725e-10
423.7,4.266e+7,4.266e+7,,2.885e-10
423.8,4.175e+7,4.175e+7,,3.026e-10
423.9,4.098e+7,4.098e+7,,3.135e-10
424,4.052e+7,4.052e+7,,3.204e-10
424.1,4.051e+7,4.051e+7,,3.231e-10
424.2,4.108e+7,4.108e+7,,3.216e-10
424.3,4.229e+7,4.229e+7,,3.165e-10
424.4,4.416e+7,4.416e+7,,3.082e-10
424.5,4.662e+7,4.662e+7,,2.976e-10
424.6,4.955e+7,4.955e+7,,2.850e-10
424.7,5.278e+7,5.278e+7,,2.708e-10
424.8,5.613e+7,5.613e+7,,2.554e-10
424.9,5.944e+7,5.944e+7,,2.387e-10
425,6.254e+7,6.254e+7,,2.211e-10
425.1,6.535e+7,6.535e+7,,2.026e-10
425.2,6.782e+7,6.782e+7,,1.836e-10
425.3,6.994e+7,6.994e+7,,1.644e-10
425.4,7.177e+7,7.177e+7,,1.455e-10
425.5,7.337e+7,7.337e+7,,1.275e-10
425.6,7.483e+7,7.483e+7,,1.109e-10
425.7,7.626e+7,7.626e+7,,9.592e-11
425.8,7.779e+7,7.779e+7,,8.302e-11
425.9,7.956e+7,7.956e+7,,7.231e-11
426,8.174e+7,8.174e+7,,6.381e-11
426.1,8.449e+7,8.449e+7,,5.746e-11
426.2,8.800e+7,8.800e+7,,5.311e-11
426.3,9.236e+7,9.236e+7,,5.058e-11
426.4,9.763e+7,9.763e+7,,4.965e-11
426.5,1.037e+8,1.037e+8,,5.011e-11
426.6,1.103e+8,1.103e+8,,5.169e-11
426.7,1.171e+8,1.171e+8,,5.413e-11
426.8,1.235e+8,1.235e+8,,5.713e-11
426.9,1.289e+8,1.289e+8,,6.042e-11
427,1.327e+8,1.327e+8,,6.370e-11
427.1,1.344e+8,1.344e+8,,6.674e-11
427.2,1.336e+8,1.336e+8,,6.939e-11
427.3,1.302e+8,1.302e+8,,7.158e-11
427.4,1.241e+8,1.241e+8,,7.338e-11
427.5,1.158e+8,1.158e+8,,7.493e-11
427.6,1.058e+8,1.058e+8,,7.649e-11
427.7,9.462e+7,9.462e+7,,7.831e-11
427.8,8.295e+7,8.295e+7,,8.067e-11
427.9,7.141e+7,7.141e+7,,8.374e-11
428,6.054e+7,6.054e+7,,8.761e-11
428.1,5.073e+7,5.073e+7,,9.224e-11
428.2,4.225e+7,4.225e+7,,9.751e-11
428.3,3.522e+7,3.522e+7,,1.032e-10
428.4,2.967e+7,2.967e+7,,1.091e-10
428.5,2.554e+7,2.554e+7,,1.150e-10
428.6,2.273e+7,2.273e+7,,1.208e-10
428.7,2.110e+7,2.110e+7,,1.265e-10
428.8,2.052e+7,2.052e+7,,1.324e-10
428.9,2.086e+7,2.086e+7,,1.386e-10
429,2.201e+7,2.201e+7,,1.455e-10
429.1,2.388e+7,2.388e+7,,1.533e-10
429.2,2.642e+7,2.642e+7,,1.623e-10
429.3,2.962e+7,2.962e+7,,1.726e-10
429.4,3.347e+7,3.347e+7,,1.844e-10
429.5,3.805e+7,3.805e+7,,1.976e-10
429.6,4.340e+7,4.340e+7,,2.121e-10
429.7,4.961e+7,4.961e+7,,2.278e-10
429.8,5.672e+7,5.672e+7,,2.444e-10
429.9,6.472e+7,6.472e+7,,2.616e-10
