Wavelength (nm),Sum,Cu I (8.1e-01),Cu II (1.9e-01)
468.95,1.504e+2,1.471e+2,3.244e+0
469,2.900e+2,2.878e+2,2.278e+0
469.05,5.519e+2,5.503e+2,1.563e+0
469.1,1.030e+3,1.029e+3,1.049e+0
469.15,1.881e+3,1.881e+3,6.877e-1
469.2,3.361e+3,3.361e+3,4.408e-1
469.25,5.872e+3,5.872e+3,2.762e-1
469.3,1.003e+4,1.003e+4,1.691e-1
469.35,1.675e+4,1.675e+4,1.012e-1
469.4,2.735e+4,2.735e+4,5.923e-2
469.45,4.365e+4,4.365e+4,3.387e-2
469.5,6.812e+4,6.812e+4,1.893e-2
469.55,1.039e+5,1.039e+5,1.035e-2
469.6,1.550e+5,1.550e+5,5.525e-3
469.65,2.261e+5,2.261e+5,2.884e-3
469.7,3.223e+5,3.223e+5,1.472e-3
469.75,4.493e+5,4.493e+5,7.339e-4
469.8,6.122e+5,6.122e+5,3.578e-4
469.85,8.156e+5,8.156e+5,1.705e-4
469.9,1.062e+6,1.062e+6,7.940e-5
469.95,1.353e+6,1.353e+6,3.615e-5
470,1.684e+6,1.684e+6,1.608e-5
470.05,2.050e+6,2.050e+6,6.996e-6
470.1,2.440e+6,2.440e+6,2.974e-6
470.15,2.838e+6,2.838e+6,1.236e-6
470.2,3.228e+6,3.228e+6,5.020e-7
470.25,3.590e+6,3.590e+6,1.993e-7
470.3,3.903e+6,3.903e+6,7.735e-8
470.35,4.148e+6,4.148e+6,2.934e-8
470.4,4.311e+6,4.311e+6,1.088e-8
470.45,4.380e+6,4.380e+6,3.942e-9
470.5,4.350e+6,4.350e+6,1.396e-9
470.55,4.224e+6,4.224e+6,4.835e-10
470.6,4.010e+6,4.010e+6,1.636e-10
470.65,3.722e+6,3.722e+6,5.413e-11
470.7,3.378e+6,3.378e+6,1.750e-11
470.75,2.996e+6,2.996e+6,5.531e-12
470.8,2.599e+6,2.599e+6,1.709e-12
470.85,2.204e+6,2.204e+6,5.160e-13
470.9,1.827e+6,1.827e+6,1.523e-13
470.95,1.481e+6,1.481e+6,4.393e-14
471,1.173e+6,1.173e+6,1.239e-14
471.05,9.091e+5,9.091e+5,
471.1,6.885e+5,6.885e+5,
471.15,5.098e+5,5.098e+5,
471.2,3.691e+5,3.691e+5,
471.25,2.612e+5,2.612e+5,
471.3,1.808e+5,1.808e+5,
471.35,1.223e+5,1.223e+5,
471.4,8.088e+4,8.088e+4,
471.45,5.230e+4,5.230e+4,
471.5,3.306e+4,3.306e+4,
471.55,2.043e+4,2.043e+4,
471.6,1.235e+4,1.235e+4,
471.65,7.294e+3,7.294e+3,
471.7,4.213e+3,4.213e+3,
471.75,2.379e+3,2.379e+3,
471.8,1.313e+3,1.313e+3,
471.85,7.088e+2,7.088e+2,
471.9,3.740e+2,3.740e+2,
471.95,1.929e+2,1.929e+2,
472,9.730e+1,9.730e+1,
472.05,4.798e+1,4.798e+1,
472.1,2.313e+1,2.313e+1,
472.15,1.090e+1,1.090e+1,
472.2,5.023e+0,5.023e+0,
472.25,2.263e+0,2.263e+0,
472.3,9.965e-1,9.965e-1,
472.35,4.291e-1,4.291e-1,
472.4,1.806e-1,1.806e-1,
472.45,7.433e-2,7.433e-2,
472.5,2.991e-2,2.991e-2,
472.55,1.177e-2,1.177e-2,
472.6,4.525e-3,4.525e-3,
472.65,1.701e-3,1.701e-3,
472.7,6.254e-4,6.254e-4,
472.75,2.248e-4,2.248e-4,
472.8,7.898e-5,7.898e-5,
472.85,2.713e-5,2.713e-5,
472.9,9.111e-6,9.111e-6,
472.95,2.992e-6,2.992e-6,
473,9.603e-7,9.603e-7,
473.05,3.014e-7,3.014e-7,
473.1,9.247e-8,9.247e-8,
473.15,2.774e-8,2.774e-8,
473.2,8.135e-9,8.135e-9,
473.25,2.332e-9,2.332e-9,
