s,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
329.46,5.335e+4,,5.335e+4
329.51,4.260e+4,,4.260e+4
329.56,3.918e+4,,3.918e+4
329.61,4.341e+4,,4.341e+4
329.66,5.547e+4,,5.547e+4
329.71,7.539e+4,,7.539e+4
329.76,1.028e+5,,1.028e+5
329.81,1.365e+5,,1.365e+5
329.86,1.744e+5,,1.744e+5
329.91,2.136e+5,,2.136e+5
329.96,2.502e+5,,2.502e+5
330.01,2.801e+5,,2.801e+5
330.06,2.996e+5,,2.996e+5
330.11,3.061e+5,,3.061e+5
330.16,2.988e+5,,2.988e+5
330.21,2.787e+5,,2.787e+5
330.26,2.483e+5,,2.483e+5
330.31,2.113e+5,,2.113e+5
330.36,1.718e+5,,1.718e+5
330.41,1.335e+5,,1.335e+5
330.46,9.904e+4,,9.904e+4
330.51,7.021e+4,,7.021e+4
330.56,4.755e+4,,4.755e+4
330.61,3.077e+4,,3.077e+4
330.66,1.904e+4,,1.904e+4
330.71,1.129e+4,,1.129e+4
330.76,6.481e+3,,6.481e+3
330.81,3.734e+3,,3.734e+3
330.86,2.421e+3,,2.421e+3
330.91,2.172e+3,,2.172e+3
330.96,2.868e+3,,2.868e+3
331.01,4.608e+3,,4.608e+3
331.06,7.681e+3,,7.681e+3
331.11,1.251e+4,,1.251e+4
331.16,1.959e+4,,1.959e+4
331.21,2.934e+4,,2.934e+4
331.26,4.202e+4,,4.202e+4
331.31,5.750e+4,,5.750e+4
331.36,7.519e+4,,7.519e+4
331.41,9.395e+4,,9.395e+4
331.46,1.122e+5,,1.122e+5
331.51,1.280e+5,,1.280e+5
331.56,1.395e+5,,1.395e+5
331.61,1.454e+5,,1.454e+5
331.66,1.447e+5,,1.447e+5
331.71,1.376e+5,,1.376e+5
331.76,1.251e+5,,1.251e+5
331.81,1.087e+5,,1.087e+5
331.86,9.018e+4,,9.018e+4
331.91,7.152e+4,,7.152e+4
331.96,5.420e+4,,5.420e+4
332.01,3.924e+4,,3.924e+4
332.06,2.715e+4,,2.715e+4
332.11,1.795e+4,,1.795e+4
332.16,1.134e+4,,1.134e+4
332.21,6.848e+3,,6.848e+3
332.26,3.951e+3,,3.951e+3
332.31,2.178e+3,,2.178e+3
332.36,1.147e+3,,1.147e+3
332.41,5.774e+2,,5.774e+2
332.46,2.777e+2,,2.777e+2
332.51,1.276e+2,,1.276e+2
332.56,5.607e+1,,5.607e+1
332.61,2.358e+1,,2.358e+1
332.66,9.609e+0,,9.609e+0
332.71,4.126e+0,,4.126e+0
332.76,2.728e+0,,2.728e+0
332.81,4.149e+0,,4.149e+0
332.86,9.400e+0,,9.400e+0
332.91,2.222e+1,,2.222e+1
332.96,5.086e+1,,5.086e+1
333.01,1.115e+2,,1.115e+2
333.06,2.337e+2,,2.337e+2
333.11,4.683e+2,,4.683e+2
333.16,8.974e+2,,8.974e+2
333.21,1.644e+3,,1.644e+3
333.26,2.881e+3,,2.881e+3
333.31,4.826e+3,,4.826e+3
333.36,7.729e+3,,7.729e+3
333.41,1.183e+4,,1.183e+4
333.46,1.733e+4,,1.733e+4
333.51,2.426e+4,,2.426e+4
333.56,3.247e+4,,3.247e+4
333.61,4.156e+4,,4.156e+4
333.66,5.085e+4,,5.085e+4
333.71,5.950e+4,,5.950e+4
333.76,6.656e+4,,6.656e+4
333.81,7.119e+4,,7.119e+4
333.86,7.280e+4,,7.280e+4
333.91,7.119e+4,,7.119e+4
333.96,6.656e+4,,6.656e+4
334.01,5.950e+4,,5.950e+4
334.06,5.085e+4,,5.085e+4
334.11,4.156e+4,,4.156e+4
334.16,3.247e+4,,3.247e+4
334.21,2.426e+4,,2.426e+4
