Wavelength (nm),Sum,Na I (1.2e-01),Na II (8.8e-01),Na III (7.9e-25)
416.63,2.242e-14,2.242e-14,,
416.68,4.011e-14,4.011e-14,,
416.73,6.974e-14,6.974e-14,,
416.78,1.178e-13,1.178e-13,,
416.84,2.129e-13,2.129e-13,,
416.89,3.378e-13,3.378e-13,,
416.94,5.207e-13,5.207e-13,,
416.99,7.800e-13,7.800e-13,,
417.04,1.135e-12,1.135e-12,,
417.09,1.606e-12,1.606e-12,,
417.14,2.208e-12,2.208e-12,,
417.19,2.949e-12,2.949e-12,,
417.24,3.829e-12,3.829e-12,,
417.29,4.830e-12,4.830e-12,,
417.34,5.921e-12,5.921e-12,,
417.39,7.054e-12,7.054e-12,,
417.44,8.168e-12,8.168e-12,,
417.49,9.194e-12,9.194e-12,,
417.54,1.006e-11,1.006e-11,,
417.59,1.071e-11,1.071e-11,,
417.64,1.109e-11,1.109e-11,,
417.69,1.119e-11,1.119e-11,,
417.74,1.102e-11,1.102e-11,,
417.79,1.060e-11,1.060e-11,,
417.84,1.002e-11,1.002e-11,,
417.89,9.341e-12,9.341e-12,,
417.94,8.668e-12,8.668e-12,,
417.99,8.088e-12,8.088e-12,,
418.04,7.681e-12,7.681e-12,,
418.09,7.502e-12,7.502e-12,,
418.14,7.579e-12,7.579e-12,,
418.19,7.907e-12,7.907e-12,,
418.24,8.450e-12,8.450e-12,,
418.29,9.143e-12,9.143e-12,,
418.34,9.904e-12,9.904e-12,,
418.39,1.064e-11,1.064e-11,,
418.44,1.125e-11,1.125e-11,,
418.49,1.165e-11,1.165e-11,,
418.54,1.179e-11,1.179e-11,,
418.59,1.164e-11,1.164e-11,,
418.64,1.118e-11,1.118e-11,,
418.69,1.045e-11,1.045e-11,,
418.74,9.500e-12,9.500e-12,,
418.79,8.397e-12,8.397e-12,,
418.84,7.216e-12,7.216e-12,,
418.89,6.027e-12,6.027e-12,,
418.94,4.892e-12,4.892e-12,,
418.99,3.860e-12,3.860e-12,,
419.04,2.960e-12,2.960e-12,,
419.09,2.206e-12,2.206e-12,,
419.14,1.598e-12,1.598e-12,,
419.19,1.125e-12,1.125e-12,,
419.24,7.701e-13,7.701e-13,,
419.29,5.128e-13,5.128e-13,,
419.34,3.329e-13,3.329e-13,,
419.39,2.119e-13,2.119e-13,,
419.44,1.346e-13,1.346e-13,,
419.49,8.916e-14,8.916e-14,,
419.54,6.763e-14,6.763e-14,,
419.59,6.529e-14,6.529e-14,,
419.64,8.050e-14,8.050e-14,,
419.69,1.143e-13,1.143e-13,,
419.74,1.699e-13,1.699e-13,,
419.79,2.524e-13,2.524e-13,,
419.84,3.680e-13,3.680e-13,,
419.89,5.232e-13,5.232e-13,,
419.94,7.239e-13,7.239e-13,,
419.99,9.741e-13,9.741e-13,,
420.04,1.274e-12,1.274e-12,,
420.09,1.620e-12,1.620e-12,,
