obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""655.4222""","=""0.0005""","=""655.42230""","=""0.00017""","=""280""","=""1.34e+06""",C+,"=""11639.8109""","=""26892.936""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,"=""T4922""","=""L10989""",
"=""655.4826""","=""0.0005""","=""655.48293""","=""0.00013""","=""27""","=""""",,"=""28788.380""","=""44040.0941""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5F""","=""4""",,"=""""","=""L10989""",
"=""655.6061""","=""0.0005""","=""655.60618""","=""0.00017""","=""380""","=""1.45e+06""",C+,"=""11776.812""","=""27025.659""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""",,"=""T4922""","=""L10989""",
"=""656.1305""","=""0.0005""","=""656.13001""","=""0.00017""","=""4""","=""""",,"=""28638.841""","=""43875.514""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""1""",,"=""""","=""L10989""",
"=""656.4256""","=""0.0005""","=""656.42594""","=""0.00022""","=""3""","=""""",,"=""20209.447""","=""35439.251""","=""3d3.(2D2).4s""","=""b 1D""","=""2""","=""3d2.(3P).4s.4p.(1P*)""","=""y 3S*""","=""1""",,"=""""","=""L10989""",
"=""656.5502""","=""0.0005""","=""656.55015""","=""0.00022""","=""39""","=""""",,"=""28896.059""","=""44122.9818""","=""3d3.(4F).4p""","=""y 5F*""","=""5""","=""3d3.(4F).4d""","=""5F""","=""5""",,"=""""","=""L10989""",
"=""657.2259""","=""0.0005""","=""657.22589""","=""0.00013""","=""6""","=""""",,"=""28702.778""","=""43914.0450""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5F""","=""2""",,"=""""","=""L10989""",
"=""657.5164""","=""0.0005""","=""657.5165""","=""0.0003""","=""40""","=""""",,"=""20795.603""","=""36000.148""","=""3d3.(2H).4s""","=""a 1H""","=""5""","=""3d2.(1G).4s.4p.(1P*)""","=""y 1G*""","=""4""",,"=""""","=""L10989""",
"=""658.5245""","=""0.0005""","=""658.52470""","=""0.00013""","=""6""","=""""",,"=""28788.380""","=""43969.6460""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5F""","=""3""",,"=""""","=""L10989""",
"=""659.2914""","=""0.0005""","=""659.29151""","=""0.00017""","=""6""","=""""",,"=""11639.8109""","=""26803.420""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""",,"=""""","=""L10989""",
"=""659.9105""","=""0.0005""","=""659.91058""","=""0.00017""","=""330""","=""1.80e+05""",C+,"=""7255.355""","=""22404.739""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1F*""","=""3""",,"=""T4498""","=""L10989""",
"=""660.1447""","=""0.0005""","=""660.14367""","=""0.00022""","=""9*""","=""""",,"=""28896.059""","=""44040.0941""","=""3d3.(4F).4p""","=""y 5F*""","=""5""","=""3d3.(4F).4d""","=""5F""","=""4""",,"=""""","=""L10989""",
"=""660.1447""","=""0.0005""","=""660.14561""","=""0.00013""","=""9*""","=""""",,"=""27025.659""","=""42169.6496""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""","=""3d2.4s.(4F).4d""","=""3G""","=""5""",,"=""""","=""L10989""",
"=""661.3625""","=""0.0005""","=""661.36207""","=""0.00022""","=""4*""","=""""",,"=""20126.062""","=""35242.198""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d4""","=""3F2""","=""4""",,"=""""","=""L10989""",
"=""661.3625""","=""0.0005""","=""661.36259""","=""0.00018""","=""4*""","=""""",,"=""11776.812""","=""26892.936""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,"=""""","=""L10989""",
"=""662.2307""","=""0.0005""","=""662.2310""","=""0.0004""","=""3""","=""""",,"=""32857.723""","=""47954.025""","=""3d2.(1D).4s.4p.(1P*)""","=""y 1F*""","=""3""","=""3d3.(2G).5s""","=""1G""","=""4""",,"=""""","=""L10989""",
"=""662.2622""","=""0.0005""","=""662.26223""","=""0.00013""","=""6""","=""""",,"=""26892.936""","=""41988.5259""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""g 3F""","=""3""",,"=""""","=""L10989""",
"=""662.2874""","=""0.0005""","=""662.2877""","=""0.0003""","=""4""","=""""",,"=""17995.487""","=""33090.497""","=""3d3.(2P).4s""","=""b 3P""","=""0""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L10989""",
"=""662.8376""","=""0.0005""","=""662.83749""","=""0.00013""","=""6""","=""""",,"=""26892.936""","=""41975.4249""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""3G""","=""4""",,"=""""","=""L10989""",
"=""662.8852""","=""0.0005""","=""662.88555""","=""0.00013""","=""7""","=""""",,"=""27025.659""","=""42107.0545""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""","=""3d2.4s.(4F).4d""","=""g 3F""","=""4""",,"=""""","=""L10989""",
"=""663.4551""","=""0.0005""","=""663.45530""","=""0.00013""","=""5""","=""""",,"=""26803.420""","=""41871.8642""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""","=""3d2.4s.(4F).4d""","=""g 3F""","=""2""",,"=""""","=""L10989""",
"=""663.6350""","=""0.0005""","=""663.63512""","=""0.00013""","=""3""","=""""",,"=""26803.420""","=""41867.7812""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""","=""3d2.4s.(4F).4d""","=""3G""","=""3""",,"=""""","=""L10989""",
"=""664.1343""","=""0.0005""","=""664.13455""","=""0.00018""","=""6""","=""""",,"=""18061.387""","=""33114.420""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,"=""""","=""L10989""",
"=""""","=""""","=""665.03555""","=""0.00018""","=""0""","=""3.3e+04""",C,"=""11531.761""","=""26564.400""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,"=""T3297""","=""""",
"=""665.1922""","=""0.0005""","=""665.19171""","=""0.00018""","=""3""","=""""",,"=""18061.387""","=""33090.497""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L10989""",
"=""665.4283""","=""0.0005""","=""665.4284""","=""0.0003""","=""6""","=""""",,"=""18061.387""","=""33085.151""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""0""",,"=""""","=""L10989""",
"=""""","=""""","=""665.70131""","=""0.00018""","=""0""","=""5.1e+04""",C,"=""11639.8109""","=""26657.416""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d3.(4F).4p""","=""y 5G*""","=""4""",,"=""T3297""","=""""",
"=""666.5850""","=""0.0005""","=""666.58494""","=""0.00013""","=""18""","=""""",,"=""28638.841""","=""43636.5388""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5G""","=""3""",,"=""""","=""L10989""",
"=""666.6501""","=""0.0005""","=""666.64971""","=""0.00013""","=""25""","=""""",,"=""28702.778""","=""43699.0187""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5G""","=""4""",,"=""""","=""L10989""",
"=""666.655""","=""0.002""","=""666.65348""","=""0.00018""","=""18w""","=""3.3e+05""",C,"=""11776.812""","=""26772.968""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""y 5G*""","=""5""",,"=""T3297""","=""L3475""",
"=""666.6691""","=""0.0005""","=""666.66898""","=""0.00018""","=""13""","=""""",,"=""28596.313""","=""43592.1203""","=""3d3.(4F).4p""","=""y 5F*""","=""1""","=""3d3.(4F).4d""","=""5G""","=""2""",,"=""""","=""L10989""",
"=""666.7733""","=""0.0005""","=""666.77356""","=""0.00013""","=""29""","=""""",,"=""28788.380""","=""43781.8353""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5G""","=""5""",,"=""""","=""L10989""",
"=""666.8375""","=""0.0005""","=""666.83776""","=""0.00022""","=""34""","=""""",,"=""28896.059""","=""43888.0708""","=""3d3.(4F).4p""","=""y 5F*""","=""5""","=""3d3.(4F).4d""","=""5G""","=""6""",,"=""""","=""L10989""",
"=""667.7175""","=""0.0005""","=""667.7179""","=""0.0003""","=""31""","=""""",,"=""20062.886""","=""35035.137""","=""3d3.(2P).4s""","=""a 1P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""x 1D*""","=""2""",,"=""""","=""L10989""",
"=""667.8569""","=""0.0005""","=""667.85692""","=""0.00018""","=""28""","=""""",,"=""18145.286""","=""33114.420""","=""3d3.(2P).4s""","=""b 3P""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,"=""""","=""L10989""",
"=""668.5645""","=""0.0005""","=""668.56504""","=""0.00018""","=""2""","=""""",,"=""28638.841""","=""43592.1203""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5G""","=""2""",,"=""""","=""L10989""",
