obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""199.105""","=""199.1052""","=""1""","=""4.77e+06""",D,"=""95551.44""","=""145776.15""","=""3s.3d""","=""3D""","=""1""","=""3p.4s""","=""3P*""","=""0""",,"=""T6298c4,LS""","=""L7431""",
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""201.5864""","=""201.5864""","=""70""","=""""",,"=""95350.60""","=""144941.10""","=""3s.4s""","=""1S""","=""0""","=""3s.9p""","=""1P*""","=""1""",,"=""""","=""L4575""",
"=""201.6053""","=""201.6052""","=""150""","=""9.82e+07""",C+,"=""95549.42""","=""145135.31""","=""3s.3d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""4""",,"=""T6298c4,LS""","=""L4575""",
"=""201.6193""","=""201.6189""","=""80""","=""1.10e+07""",D,"=""95549.42""","=""145131.93""","=""3s.3d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""201.6234""","=""201.6234""","=""150""","=""8.73e+07""",C+,"=""95550.51""","=""145131.93""","=""3s.3d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""201.6288""","=""""","=""4.32e+05""",E,"=""95549.42""","=""145129.51""","=""3s.3d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""201.6334""","=""201.6332""","=""50""","=""1.53e+07""",D,"=""95550.51""","=""145129.51""","=""3s.3d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""201.6369""","=""201.6370""","=""100""","=""8.25e+07""",C,"=""95551.44""","=""145129.51""","=""3s.3d""","=""3D""","=""1""","=""3s.8f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""202.2081""","=""202.2082""","=""40""","=""4.05e+07""",C+,"=""85481.35""","=""134919.40""","=""3p2""","=""1D""","=""2""","=""3s.6p""","=""1P*""","=""1""",,"=""T6533""","=""L4575""",
"=""203.675""","=""203.6760""","=""1""","=""""",,"=""94084.96""","=""143166.76""","=""3p2""","=""3P""","=""0""","=""3s.8p""","=""3P*""","=""1""",,"=""""","=""L7431""",
"=""203.922""","=""203.9221""","=""1""","=""""",,"=""94147.46""","=""143170.04""","=""3p2""","=""3P""","=""1""","=""3s.8p""","=""3P*""","=""2""",,"=""""","=""L7431""",
"=""203.940""","=""203.9414""","=""5""","=""""",,"=""94147.46""","=""143165.4""","=""3p2""","=""3P""","=""1""","=""3s.8p""","=""3P*""","=""0""",,"=""""","=""L7431""",
"=""204.427""","=""204.4277""","=""2""","=""""",,"=""94268.68""","=""143170.04""","=""3p2""","=""3P""","=""2""","=""3s.8p""","=""3P*""","=""2""",,"=""""","=""L7431""",
"=""204.441""","=""204.4414""","=""1""","=""""",,"=""94268.68""","=""143166.76""","=""3p2""","=""3P""","=""2""","=""3s.8p""","=""3P*""","=""1""",,"=""""","=""L7431""",
"=""204.763""","=""204.7634""","=""5""","=""""",,"=""91274.50""","=""140095.7""","=""3s.4s""","=""3S""","=""1""","=""3s.7p""","=""3P*""","=""2""",,"=""""","=""L7431""",
"=""204.779""","=""204.7793""","=""5""","=""""",,"=""91274.50""","=""140091.9""","=""3s.4s""","=""3S""","=""1""","=""3s.7p""","=""3P*""","=""1""",,"=""""","=""L7431""",
"=""204.787""","=""204.7873""","=""1""","=""""",,"=""91274.50""","=""140090.0""","=""3s.4s""","=""3S""","=""1""","=""3s.7p""","=""3P*""","=""0""",,"=""""","=""L7431""",
"=""207.4009""","=""207.4009""","=""200""","=""1.41e+08""",B,"=""85481.35""","=""133681.78""","=""3p2""","=""1D""","=""2""","=""3s.5f""","=""1F*""","=""3""",,"=""T6533""","=""L4575""",
"=""208.1481""","=""208.1480""","=""15""","=""""",,"=""37453.91""","=""85481.35""","=""3s.3p""","=""3P*""","=""1""","=""3p2""","=""1D""","=""2""",,"=""""","=""L4575""",
"=""208.6864""","=""208.6863""","=""30""","=""""",,"=""37577.79""","=""85481.35""","=""3s.3p""","=""3P*""","=""2""","=""3p2""","=""1D""","=""2""",,"=""""","=""L4575""",
"=""209.4264""","=""209.4263""","=""700""","=""1.84e+08""",C+,"=""95549.42""","=""143283.75""","=""3s.3d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""4""",,"=""T6298c4,LS""","=""L4575""",
"=""209.4744""","=""209.4741""","=""150""","=""2.05e+07""",D,"=""95549.42""","=""143272.86""","=""3s.3d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""209.4790""","=""209.4789""","=""300""","=""1.64e+08""",C+,"=""95550.51""","=""143272.86""","=""3s.3d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""209.5049""","=""""","=""8.10e+05""",E,"=""95549.42""","=""143265.83""","=""3s.3d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""209.5100""","=""209.5097""","=""100""","=""2.87e+07""",D,"=""95550.51""","=""143265.83""","=""3s.3d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""209.5140""","=""209.5138""","=""200""","=""1.55e+08""",C+,"=""95551.44""","=""143265.83""","=""3s.3d""","=""3D""","=""1""","=""3s.7f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""209.9709""","=""209.9706""","=""80""","=""""",,"=""95350.60""","=""142961.20""","=""3s.4s""","=""1S""","=""0""","=""3s.8p""","=""1P*""","=""1""",,"=""""","=""L4575""",
"=""219.2604""","=""219.2604""","=""500""","=""2.47e+08""",C+,"=""95549.42""","=""141143.05""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""4""",,"=""T6298c4,LS""","=""L4575""",
"=""219.4189""","=""219.4191""","=""20""","=""2.74e+07""",C,"=""95549.42""","=""141110.06""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""219.4245""","=""219.4244""","=""70""","=""2.19e+08""",C+,"=""95550.51""","=""141110.06""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""219.5404""","=""""","=""1.08e+06""",E,"=""95549.42""","=""141084.89""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""219.5456""","=""219.5457""","=""300""","=""3.83e+07""",C,"=""95550.51""","=""141084.89""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""219.5502""","=""219.5502""","=""300""","=""2.07e+08""",C+,"=""95551.44""","=""141084.89""","=""3s.3d""","=""3D""","=""1""","=""3p.3d""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""224.3045""","=""224.3047""","=""300""","=""3.03e+07""",C+,"=""95350.60""","=""139918.98""","=""3s.4s""","=""1S""","=""0""","=""3s.7p""","=""1P*""","=""1""",,"=""T6533""","=""L4575""",
"=""228.5126""","=""228.5133""","=""50""","=""""",,"=""91274.50""","=""135022.127""","=""3s.4s""","=""3S""","=""1""","=""3s.6p""","=""3P*""","=""2""",,"=""""","=""L4575""",
"=""228.5470""","=""228.5469""","=""10""","=""""",,"=""91274.50""","=""135015.701""","=""3s.4s""","=""3S""","=""1""","=""3s.6p""","=""3P*""","=""1""",,"=""""","=""L4575""",
"=""228.569""","=""228.5647""","=""5""","=""""",,"=""91274.50""","=""135012.285""","=""3s.4s""","=""3S""","=""1""","=""3s.6p""","=""3P*""","=""0""",,"=""""","=""L3471""",
"=""231.2225""","=""231.2192""","=""1""","=""""",,"=""105441.50""","=""148677.2""","=""3s.4p""","=""3P*""","=""1""","=""3s.13s""","=""3S""","=""1""",,"=""""","=""L3471""",
"=""231.3768""","=""231.3768""","=""100""","=""""",,"=""105470.93""","=""148677.2""","=""3s.4p""","=""3P*""","=""2""","=""3s.13s""","=""3S""","=""1""",,"=""""","=""L4575""",
"=""232.4199""","=""232.4198""","=""350""","=""3.46e+07""",C+,"=""95549.42""","=""138561.8""","=""3s.3d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""4""",,"=""T6298c4,LS""","=""L4575""",
"=""232.5436""","=""232.5437""","=""10""","=""3.85e+06""",C,"=""95549.42""","=""138538.9""","=""3s.3d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""232.5494""","=""232.5496""","=""300""","=""3.07e+07""",C+,"=""95550.51""","=""138538.9""","=""3s.3d""","=""3D""","=""2""","=""3s.6f""","=""3F*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""232.6384""","=""""","=""1.52e+05""",E,"=""95549.42""","=""138521.4""","=""3s.3d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""232.6445""","=""232.6443""","=""10""","=""5.38e+06""",C,"=""95550.51""","=""138521.4""","=""3s.3d""","=""3D""","=""2""","=""3s.6f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""232.6496""","=""232.6493""","=""300""","=""2.90e+07""",C+,"=""95551.44""","=""138521.4""","=""3s.3d""","=""3D""","=""1""","=""3s.6f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""232.820""","=""232.8201""","=""3""","=""""",,"=""106920.56""","=""149859.0""","=""3s.4p""","=""1P*""","=""1""","=""3s.16s""","=""1S""","=""0""",,"=""""","=""L3471""",
"=""234.469""","=""234.4688""","=""7""","=""""",,"=""106920.56""","=""149557.1""","=""3s.4p""","=""1P*""","=""1""","=""3s.15s""","=""1S""","=""0""",,"=""""","=""L3471""",
"=""234.547""","=""234.5473""","=""3""","=""""",,"=""105470.93""","=""148093.2""","=""3s.4p""","=""3P*""","=""2""","=""3s.11d""","=""3D""","=""3""",,"=""""","=""L3471""",
"=""234.592""","=""234.5895""","=""3""","=""""",,"=""105441.50""","=""148056.1""","=""3s.4p""","=""3P*""","=""1""","=""3s.12s""","=""3S""","=""1""",,"=""""","=""L3471""",
"=""234.7516""","=""234.7516""","=""30""","=""""",,"=""105470.93""","=""148056.1""","=""3s.4p""","=""3P*""","=""2""","=""3s.12s""","=""3S""","=""1""",,"=""""","=""L4575""",
"=""236.5460""","=""236.5489""","=""10""","=""""",,"=""106920.56""","=""149182.2""","=""3s.4p""","=""1P*""","=""1""","=""3s.14s""","=""1S""","=""0""",,"=""""","=""L3471""",
"=""238.825""","=""238.8160""","=""1""","=""""",,"=""105427.52""","=""147288.0""","=""3s.4p""","=""3P*""","=""0""","=""3s.10d""","=""3D""","=""1""",,"=""""","=""L3471""",
"=""238.9035""","=""238.9035""","=""5""","=""""",,"=""105441.50""","=""147286.65""","=""3s.4p""","=""3P*""","=""1""","=""3s.10d""","=""3D""","=""2""",,"=""""","=""L4575""",
