obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""183.6508""","=""0.0006""","=""183.65110""","=""0.00005""","=""50""","=""3.3e+06""",D+,"=""14593.835""","=""69044.91""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4P).4p""","=""z 3P*""","=""2""",,"=""T7259""","=""L562""",
"=""183.692""","=""0.0015""","=""183.69207""","=""0.00010""","=""20""","=""""",,"=""33278.73""","=""87717.66""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(a 2G).4p""","=""u 3F*""","=""3""",,"=""""","=""L562""",
"=""183.713""","=""0.0015""","=""183.71334""","=""0.00014""","=""80""","=""9.e+07""",D,"=""33147.71""","=""87580.34""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(a 2G).4p""","=""u 3F*""","=""4""",,"=""c88""","=""L562""",
"=""183.725""","=""0.0015""","=""183.72542""","=""0.00014""","=""2""","=""""",,"=""31761.21""","=""86190.26""","=""3d6""","=""a 3F""","=""2""","=""3d5.(4F).4p""","=""v 3D*""","=""2""",,"=""""","=""L562""",
"=""183.748""","=""0.002""","=""183.7468""","=""0.0003""","=""60*""","=""""",,"=""39808.492""","=""94231.20""","=""3d5.(4D).4s""","=""b 3D""","=""3""","=""3d5.(2S).4p""","=""3P*""","=""2""",,"=""""","=""L562""",
"=""183.748""","=""0.002""","=""183.74719""","=""0.00014""","=""60*""","=""""",,"=""27571.25""","=""81993.85""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4F).4p""","=""x 5F*""","=""4""",,"=""""","=""L562""",
"=""183.765""","=""0.002""","=""183.76230""","=""0.00010""","=""10*""","=""""",,"=""14901.203""","=""69319.33""","=""3d6""","=""a 5D""","=""1""","=""3d5.(4P).4p""","=""z 3P*""","=""0""",,"=""""","=""L562""",
"=""183.765""","=""0.002""","=""183.7646""","=""0.0003""","=""10*""","=""""",,"=""39813.76""","=""94231.20""","=""3d5.(4D).4s""","=""b 3D""","=""2""","=""3d5.(2S).4p""","=""3P*""","=""2""",,"=""""","=""L562""",
"=""183.786""","=""0.0015""","=""183.78887""","=""0.00014""","=""1""","=""""",,"=""27583.59""","=""81993.85""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4F).4p""","=""x 5F*""","=""4""",,"=""""","=""L562""",
"=""183.805""","=""0.0015""","=""183.8043""","=""0.0007""","=""10""","=""""",,"=""54938.213""","=""109343.9""","=""3d4.4s2""","=""c 5D""","=""1""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""2""",,"=""""","=""L562""",
"=""183.825""","=""0.0015""","=""183.82434""","=""0.00010""","=""2""","=""""",,"=""31662.04""","=""86061.80""","=""3d6""","=""a 3F""","=""3""","=""3d5.(a 2F).4p""","=""y 1F*""","=""3""",,"=""""","=""L562""",
"=""183.8604""","=""0.0006""","=""183.8601""","=""0.0005""","=""30""","=""""",,"=""54846.269""","=""109235.44""","=""3d4.4s2""","=""c 5D""","=""0""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""1""",,"=""""","=""L562""",
"=""183.959""","=""0.0015""","=""183.9579""","=""0.0007""","=""15""","=""""",,"=""55116.333""","=""109476.6""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""3""",,"=""""","=""L562""",
"=""184.029""","=""0.0015""","=""184.02951""","=""0.00017""","=""100""","=""""",,"=""27547.26""","=""81886.37""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4F).4p""","=""x 5F*""","=""5""",,"=""""","=""L562""",
"=""184.045""","=""0.002""","=""184.04532""","=""0.00014""","=""2h""","=""""",,"=""34762.098""","=""89096.54""","=""3d6""","=""b 3G""","=""5""","=""3d5.(a 2G).4p""","=""3G*""","=""4""",,"=""""","=""L562""",
"=""184.056""","=""0.002""","=""184.05468""","=""0.00014""","=""3h""","=""""",,"=""33248.66""","=""87580.34""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(a 2G).4p""","=""u 3F*""","=""4""",,"=""""","=""L562""",
"=""184.091""","=""0.0015""","=""184.0906""","=""0.0006""","=""5""","=""""",,"=""40759.62""","=""95080.71""","=""3d6""","=""a 1S""","=""0""","=""3d5.(2S).4p""","=""y 1P*""","=""1""",,"=""""","=""L562""",
"=""184.112""","=""0.002""","=""184.11080""","=""0.00014""","=""30*""","=""""",,"=""27571.25""","=""81886.37""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4F).4p""","=""x 5F*""","=""5""",,"=""""","=""L562""",
