obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""220.89523""","=""0.00008""","=""220.895013""","=""0.000011""","=""500""","=""8.e+06""",D+,"=""62151.554""","=""107407.818""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(3F2).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.903199""","=""0.000011""","=""220.903187""","=""0.000010""","=""60000""","=""1.27e+08""",C+,"=""38458.9934""","=""83713.583""","=""3d6.(5D).4p""","=""z 6D*""","=""9/2""","=""3d6.(5D).4d""","=""6D""","=""7/2""",,"=""T7186""","=""L18349c139""",
"=""220.97534""","=""0.00006""","=""220.975319""","=""0.000011""","=""4000""","=""1.6e+06""",D,"=""20340.2461""","=""65580.065""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.9938""","=""0.0005""","=""220.992660""","=""0.000015""","=""500d?""","=""""",,"=""26932.7348""","=""72169.004""","=""3d6.(3P2).4s""","=""b 2P""","=""1/2""","=""3d6.(3D).4p""","=""w 4F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""221.01492""","=""0.00013""","=""221.015002""","=""0.000012""","=""290""","=""9.e+06""",D+,"=""64834.069""","=""110065.766""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3G).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.08919""","=""0.00004""","=""221.089090""","=""0.000015""","=""1500""","=""""",,"=""58666.199""","=""103882.740""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
"=""221.10007""","=""0.00008""","=""221.099996""","=""0.000015""","=""2900""","=""1.1e+06""",D,"=""21307.999""","=""66522.310""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.10950""","=""0.00011""","=""221.109563""","=""0.000015""","=""3300""","=""6.6e+06""",D+,"=""30388.5451""","=""75600.900""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.11149""","=""0.00005""","=""221.111500""","=""0.000011""","=""5000""","=""2.8e+06""",D+,"=""21251.5833""","=""66463.542""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.17795""","=""0.00009""","=""221.177974""","=""0.000011""","=""500""","=""7.6e+06""",D+,"=""61726.069""","=""106924.441""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
