obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""646.56757""","=""0.00013""","=""646.56768""","=""0.00005""","=""160""","=""2.1e+05""",D+,"=""78525.442""","=""93987.454""","=""3d6.(5D).5s""","=""e 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""647.18902""","=""0.00010""","=""""","=""2.14e-03""",D+,"=""20805.7632""","=""36252.931""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""",E2,"=""T8961""","=""""",
"=""""","=""""","=""647.38866""","=""0.00014""","=""""","=""1.76e-01""",C+,"=""16369.4098""","=""31811.814""","=""3d7""","=""a 2G""","=""7/2""","=""3d7""","=""b 2F""","=""5/2""",M1+E2,"=""T8961""","=""""",
"=""648.00895""","=""0.00004""","=""648.01021""","=""0.00013""","=""1200bl(Ar)""","=""""",,"=""43238.6066""","=""58666.199""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""",,"=""""","=""L18349c148""",
"=""648.22047""","=""0.00005""","=""648.22040""","=""0.00005""","=""360""","=""1.9e+05""",D+,"=""50157.475""","=""65580.065""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""648.22933""","=""0.00010""","=""""","=""5.4e-02""",D,"=""20830.5534""","=""36252.931""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""",M1+E2,"=""T8961""","=""""",
"=""""","=""""","=""648.52983""","=""0.00018""","=""""","=""7.0e-01""",C,"=""21812.0454""","=""37227.277""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(1S2).4s""","=""a 2S""","=""1/2""",M1,"=""T9907""","=""""",
"=""648.5355""","=""0.0006""","=""648.53558""","=""0.00017""","=""100""","=""4.2e+05""",D+,"=""95046.177""","=""110461.272""","=""3d6.(3F1).4p""","=""2F*""","=""5/2""","=""3d6.(3G).4d""","=""2D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""648.7335""","=""0.0003""","=""648.73388""","=""0.00010""","=""80""","=""6.e+04""",D,"=""54904.241""","=""70314.624""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""648.84001""","=""0.00017""","=""648.84019""","=""0.00003""","=""180""","=""8.1e+06""",C+,"=""89331.199""","=""104739.057""","=""3d6.(5D).5p""","=""6D*""","=""3/2""","=""3d6.(3F2).4d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""648.9320""","=""0.0010""","=""648.93171""","=""0.00004""","=""50""","=""6.8e+06""",C+,"=""87985.667""","=""103391.352""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""649.12542""","=""0.00003""","=""649.12544""","=""0.00005""","=""800""","=""""",,"=""45044.1916""","=""60445.279""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""","=""3d5.4s2""","=""c 4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""649.16651""","=""0.00014""","=""649.16630""","=""0.00005""","=""200""","=""1.78e+07""",B+,"=""87985.667""","=""103385.785""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""649.30406""","=""0.00003""","=""649.30407""","=""0.00004""","=""1200""","=""8.e+04""",D,"=""45044.1916""","=""60441.042""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""","=""3d5.4s2""","=""c 4D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""649.52122""","=""0.00006""","=""649.52100""","=""0.00004""","=""80""","=""4.7e+07""",B+,"=""89471.372""","=""104863.080""","=""3d6.(5D).5p""","=""6D*""","=""1/2""","=""3d6.(5D).5d""","=""6P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""649.6938""","=""0.0005""","=""649.69415""","=""0.00003""","=""70""","=""2.39e+07""",B+,"=""89119.452""","=""104507.058""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(3H).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""649.7263""","=""0.0006""","=""649.72764""","=""0.00017""","=""50""","=""""",,"=""109049.611""","=""124436.424""","=""3d6.(3G).4d""","=""2I""","=""13/2""","=""3d6.(3F2<4>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c139""",
"=""649.7498""","=""0.0009""","=""649.74985""","=""0.00004""","=""70""","=""""",,"=""88614.523""","=""104000.810""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(5D).5d""","=""6P""","=""7/2""",,"=""""","=""L18349c139""",
"=""650.0478""","=""0.0004""","=""650.04800""","=""0.00005""","=""80bl(Fe I)""","=""7.2e+06""",C+,"=""87985.667""","=""103364.897""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""650.63408""","=""0.00003""","=""650.63407""","=""0.00005""","=""700""","=""""",,"=""45079.9019""","=""60445.279""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""","=""3d5.4s2""","=""c 4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""651.0740""","=""0.0012""","=""651.07242""","=""0.00004""","=""70""","=""3.7e+06""",C+,"=""87985.667""","=""103340.699""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""651.12152""","=""0.00014""","=""""","=""1.69e-01""",C+,"=""22810.3459""","=""38164.220""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""",M1,"=""T8961""","=""""",
"=""651.60766""","=""0.00006""","=""651.60769""","=""0.00004""","=""200""","=""8.3e+03""",C+,"=""23317.6351""","=""38660.0537""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 6D*""","=""7/2""",,"=""T7589""","=""L18349c139""",
"=""651.70296""","=""0.00003""","=""651.70293""","=""0.00004""","=""1000""","=""""",,"=""45044.1916""","=""60384.368""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""","=""3d5.4s2""","=""c 4D""","=""1/2""",,"=""""","=""L18349c139""",
"=""651.789""","=""0.003""","=""651.78954""","=""0.00021""","=""40""","=""3.4e+04""",D,"=""58631.623""","=""73969.761""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(1I).4p""","=""y 2I*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""651.87726""","=""0.00014""","=""651.87705""","=""0.00003""","=""210""","=""8.e+04""",D,"=""88614.523""","=""103950.602""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(5D).5d""","=""6F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""651.9755""","=""0.0012""","=""651.97593""","=""0.00006""","=""70bl(Fe II)*""","=""1.0e+05""",D,"=""72651.914""","=""87985.667""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""","=""3d6.(5D).4d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""651.9755""","=""0.0012""","=""651.97619""","=""0.00017""","=""70bl(Fe II)*""","=""""",,"=""93328.553""","=""108662.300""","=""3d6.(3F1).4p""","=""u 4F*""","=""3/2""","=""3d6.(3D).5s""","=""4D""","=""3/2""",,"=""""","=""L18349c148""",
"=""652.47274""","=""0.00009""","=""652.47268""","=""0.00003""","=""320""","=""2.7e+05""",D+,"=""88614.523""","=""103936.602""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(5D).5d""","=""6F""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""653.11492""","=""0.00011""","=""653.11510""","=""0.00003""","=""240""","=""6.8e+06""",C+,"=""89119.452""","=""104426.460""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).5d""","=""6F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""653.1778""","=""0.0004""","=""653.17740""","=""0.00006""","=""110bl(Fe II)*""","=""2.5e+05""",D,"=""78725.822""","=""94031.370""","=""3d6.(5D).5s""","=""e 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""1/2""",,"=""T6892c83""","=""L18349c148""",
"=""653.1778""","=""0.0004""","=""653.17864""","=""0.00007""","=""110bl(Fe II)*""","=""2.5e+05""",D+,"=""78525.442""","=""93830.961""","=""3d6.(5D).5s""","=""e 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""653.44714""","=""0.00014""","=""653.44714""","=""0.00003""","=""210""","=""4.6e+07""",B+,"=""89331.199""","=""104630.429""","=""3d6.(5D).5p""","=""6D*""","=""3/2""","=""3d6.(5D).5d""","=""6F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""653.5044""","=""0.0013""","=""653.50434""","=""0.00004""","=""50""","=""5.3e+05""",D+,"=""89128.569""","=""104426.460""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""7/2""","=""3d6.(5D).5d""","=""6F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""654.02248""","=""0.00019""","=""654.02250""","=""0.00005""","=""110""","=""4.5e+07""",B+,"=""89471.372""","=""104757.143""","=""3d6.(5D).5p""","=""6D*""","=""1/2""","=""3d6.(5D).5d""","=""6D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""654.13680""","=""0.00006""","=""654.13672""","=""0.00004""","=""500""","=""3.48e+07""",B+,"=""89128.569""","=""104411.671""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""7/2""","=""3d6.(5D).5d""","=""6D""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""654.38049""","=""0.00009""","=""654.38035""","=""0.00003""","=""260""","=""2.70e+07""",B+,"=""88723.398""","=""104000.810""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).5d""","=""6P""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""654.47718""","=""0.00014""","=""""","=""2.26e-01""",C+,"=""22939.3512""","=""38214.503""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""",M1,"=""T8961""","=""""",
"=""654.83910""","=""0.00006""","=""654.83912""","=""0.00003""","=""400""","=""4.5e+07""",B+,"=""88853.535""","=""104120.244""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).5d""","=""6P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""655.06309""","=""0.00014""","=""655.06310""","=""0.00003""","=""200""","=""1.96e+07""",B+,"=""89119.452""","=""104380.941""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).5d""","=""6F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""655.0795""","=""0.0003""","=""655.07962""","=""0.00006""","=""50""","=""1.33e+07""",C+,"=""88157.176""","=""103418.280""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[0]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""655.08610""","=""0.00014""","=""655.08598""","=""0.00003""","=""220""","=""1.47e+07""",B+,"=""89444.455""","=""104705.411""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).5d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""655.23322""","=""0.00019""","=""655.23307""","=""0.00005""","=""160""","=""7.3e+06""",C,"=""89331.199""","=""104588.729""","=""3d6.(5D).5p""","=""6D*""","=""3/2""","=""3d6.(5D).5d""","=""6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""655.45466""","=""0.00011""","=""655.45466""","=""0.00003""","=""240""","=""1.87e+07""",B+,"=""89128.569""","=""104380.941""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""7/2""","=""3d6.(5D).5d""","=""6F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""655.6326""","=""0.0015""","=""655.63138""","=""0.00007""","=""70""","=""2.5e+07""",C+,"=""88189.066""","=""103437.327""","=""3d6.(5D).4d""","=""4P""","=""1/2""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""655.85111""","=""0.00008""","=""""","=""2.48e-02""",C,"=""3117.4877""","=""18360.6399""","=""3d7""","=""a 4F""","=""3/2""","=""3d7""","=""a 2P""","=""3/2""",M1,"=""T8961""","=""""",
"=""655.9508""","=""0.0004""","=""655.95113""","=""0.00006""","=""70""","=""7.e+04""",D,"=""57411.086""","=""72651.914""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""655.9888""","=""0.0003""","=""655.98853""","=""0.00009""","=""50""","=""""",,"=""62945.045""","=""78185.004""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""","=""3d5.4s2""","=""2G2""","=""7/2""",,"=""""","=""L18349c139""",
"=""656.111""","=""0.003""","=""656.11037""","=""0.00004""","=""80""","=""7.6e+06""",C+,"=""89625.951""","=""104863.080""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""3/2""","=""3d6.(5D).5d""","=""6P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""656.22048""","=""0.00003""","=""656.22051""","=""0.00004""","=""700""","=""""",,"=""45206.4704""","=""60441.042""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""","=""3d5.4s2""","=""c 4D""","=""3/2""",,"=""""","=""L18349c139""",
"=""656.53800""","=""0.00004""","=""656.53802""","=""0.00005""","=""700""","=""6.1e+07""",B+,"=""88723.398""","=""103950.602""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).5d""","=""6F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""656.63873""","=""0.00014""","=""""","=""2.2e-02""",E,"=""22939.3512""","=""38164.220""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""",M1,"=""T8961""","=""""",
"=""657.14216""","=""0.00004""","=""657.14221""","=""0.00004""","=""1100""","=""6.9e+07""",B+,"=""88723.398""","=""103936.602""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).5d""","=""6F""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""657.1760""","=""0.0005""","=""657.17595""","=""0.00005""","=""60""","=""""",,"=""66522.310""","=""81734.733""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""7/2""",,"=""""","=""L18349c139""",
"=""657.34927""","=""0.00017""","=""657.34923""","=""0.00006""","=""110""","=""1.3e+05""",D,"=""57411.086""","=""72619.499""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(3D).4p""","=""w 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""657.4486""","=""0.0005""","=""657.44783""","=""0.00005""","=""40""","=""""",,"=""50157.475""","=""65363.607""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""",,"=""""","=""L18349c139""",
"=""657.6158""","=""0.0018""","=""657.61416""","=""0.00007""","=""50""","=""4.1e+05""",D+,"=""88189.066""","=""103391.352""","=""3d6.(5D).4d""","=""4P""","=""1/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""658.43995""","=""0.00014""","=""""","=""1.33e-01""",C+,"=""23031.2829""","=""38214.503""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""",M1,"=""T8961""","=""""",
"=""658.67083""","=""0.00003""","=""658.67085""","=""0.00004""","=""900""","=""""",,"=""45206.4704""","=""60384.368""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""","=""3d5.4s2""","=""c 4D""","=""1/2""",,"=""""","=""L18349c139""",
"=""659.6460""","=""0.0002""","=""659.64627""","=""0.00004""","=""90""","=""""",,"=""45289.8248""","=""60445.279""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""","=""3d5.4s2""","=""c 4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""659.83075""","=""0.00005""","=""659.83074""","=""0.00004""","=""300""","=""""",,"=""45289.8248""","=""60441.042""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""","=""3d5.4s2""","=""c 4D""","=""3/2""",,"=""""","=""L18349c139""",
"=""660.00257""","=""0.00006""","=""660.00246""","=""0.00003""","=""400""","=""3.78e+07""",B+,"=""88853.535""","=""104000.810""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).5d""","=""6P""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""660.29101""","=""0.00011""","=""""","=""2.42e-03""",D+,"=""18360.6399""","=""33501.2957""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""",E2,"=""T8961""","=""""",
"=""""","=""""","=""660.62780""","=""0.00014""","=""""","=""8.5e-03""",E,"=""23031.2829""","=""38164.220""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""",M1,"=""T8961""","=""""",
"=""660.9243""","=""0.0003""","=""660.92352""","=""0.00006""","=""28""","=""""",,"=""57493.333""","=""72619.499""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d6.(3D).4p""","=""w 4D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""660.96779""","=""0.00004""","=""660.96713""","=""0.00005""","=""800bl(Fe I)""","=""6.6e+06""",C+,"=""87985.667""","=""103110.835""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""661.3267""","=""0.0003""","=""661.32676""","=""0.00005""","=""60""","=""""",,"=""66522.310""","=""81639.253""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""""","=""L18349c139""",
"=""661.84380""","=""0.00014""","=""661.84356""","=""0.00007""","=""150""","=""2.8e+05""",D+,"=""78725.822""","=""93830.961""","=""3d6.(5D).5s""","=""e 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""662.19744""","=""0.00012""","=""662.19744""","=""0.00004""","=""240""","=""1.72e+07""",B+,"=""88853.535""","=""103950.602""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).5d""","=""6F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""662.72364""","=""0.00009""","=""662.72377""","=""0.00009""","=""210""","=""2.6e+05""",D+,"=""58666.199""","=""73751.276""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d6.(1I).4p""","=""w 2H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""663.0656""","=""0.0003""","=""663.06733""","=""0.00008""","=""110""","=""2.6e+04""",D,"=""90211.613""","=""105288.874""","=""3d6.(3F1).4p""","=""4G*""","=""11/2""","=""3d6.(3F2).4d""","=""4H""","=""13/2""",,"=""T6892c83""","=""L18349c145""",
"=""664.26849""","=""0.00011""","=""664.26972""","=""0.00013""","=""170""","=""""",,"=""93487.653""","=""108537.623""","=""3d6.(3F1).4p""","=""u 4F*""","=""7/2""","=""3d6.(3G).4d""","=""4G""","=""7/2""",,"=""""","=""L18349c145""",
"=""664.3057""","=""0.0002""","=""664.30582""","=""0.00004""","=""27""","=""3.4e+06""",D+,"=""87985.667""","=""103034.819""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""664.5367""","=""0.0003""","=""664.53540""","=""0.00013""","=""120bl(Fe I)""","=""""",,"=""108391.507""","=""123435.460""","=""3d6.(3G).4d""","=""4G""","=""9/2""","=""3d6.(3H<4>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
"=""664.7687""","=""0.0004""","=""664.76867""","=""0.00005""","=""80""","=""7.9e+06""",C+,"=""87985.667""","=""103024.341""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""665.0982""","=""0.0003""","=""665.09798""","=""0.00006""","=""90""","=""1.3e+05""",D,"=""57493.333""","=""72524.561""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d6.(3D).4p""","=""w 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""666.4469""","=""0.0015""","=""666.44745""","=""0.00004""","=""60""","=""9.0e+06""",C+,"=""89119.452""","=""104120.244""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).5d""","=""6P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""667.19286""","=""0.00006""","=""""","=""6.0e-03""",C,"=""7955.3186""","=""22939.3512""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""",M1,"=""T9588c100""","=""""",
"=""667.8835""","=""0.0003""","=""667.88338""","=""0.00005""","=""110""","=""2.4e+07""",C+,"=""88157.176""","=""103125.717""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""667.9742""","=""0.0002""","=""667.97432""","=""0.00004""","=""110""","=""5.3e+06""",C+,"=""87985.667""","=""102952.170""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""668.5485""","=""0.0004""","=""668.54806""","=""0.00005""","=""60""","=""1.11e+07""",C+,"=""88157.176""","=""103110.835""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""668.6872""","=""0.0003""","=""668.68736""","=""0.00005""","=""70""","=""6.6e+06""",D+,"=""92225.549""","=""107176.093""","=""3d6.(5D).5p""","=""4P*""","=""3/2""","=""3d6.(5D).5d""","=""4P""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""668.93846""","=""0.00013""","=""""","=""5.42e-02""",C+,"=""21307.999""","=""36252.931""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""",M1+E2,"=""T8961""","=""""",
"=""669.3099""","=""0.0004""","=""669.30933""","=""0.00007""","=""60""","=""1.0e+06""",D+,"=""88189.066""","=""103125.717""","=""3d6.(5D).4d""","=""4P""","=""1/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""669.3228""","=""0.0006""","=""669.32317""","=""0.00022""","=""50""","=""2.1e+05""",D,"=""57493.333""","=""72429.675""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d6.(3D).4p""","=""w 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""669.84768""","=""0.00004""","=""669.84838""","=""0.00004""","=""1000""","=""""",,"=""90593.511""","=""105518.142""","=""3d6.(5D).5p""","=""6F*""","=""3/2""","=""3d6.(3F2).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c145""",
"=""""","=""""","=""670.06414""","=""0.00009""","=""""","=""7.6e-03""",D+,"=""15844.6485""","=""30764.4737""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""",E2,"=""T8961""","=""""",
"=""670.1537""","=""0.0008""","=""670.15480""","=""0.00004""","=""100""","=""1.1e+05""",D+,"=""88853.535""","=""103771.342""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(3H).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""670.8878""","=""0.0003""","=""670.88794""","=""0.00004""","=""120""","=""4.1e+06""",C+,"=""87985.667""","=""102887.172""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""671.9641""","=""0.0006""","=""671.96397""","=""0.00005""","=""90""","=""6.0e+06""",C+,"=""88157.176""","=""103034.819""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""672.138""","=""0.004""","=""672.13994""","=""0.00004""","=""15""","=""""",,"=""90042.804""","=""104916.552""","=""3d6.(5D).5p""","=""4F*""","=""9/2""","=""3d6.(3F2).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""672.437""","=""0.010""","=""672.43756""","=""0.00005""","=""30""","=""3.8e+06""",C+,"=""88157.176""","=""103024.341""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""672.98700""","=""0.00006""","=""""","=""2.03e-02""",C+,"=""7955.3186""","=""22810.3459""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""",M1,"=""T9588c100""","=""""",
"=""673.20641""","=""0.00003""","=""673.20844""","=""0.00004""","=""1200bl(Fe I)""","=""2.8e+05""",D+,"=""90780.623""","=""105630.764""","=""3d6.(5D).5p""","=""4F*""","=""7/2""","=""3d6.(5D).5d""","=""4G""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""""","=""""","=""674.64987""","=""0.00013""","=""""","=""4.53e-02""",C+,"=""21307.999""","=""36126.412""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3D).4s""","=""b 2D""","=""3/2""",E2,"=""T8961""","=""""",
"=""""","=""""","=""674.69330""","=""0.00019""","=""""","=""2.02e-01""",C+,"=""22409.8178""","=""37227.277""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(1S2).4s""","=""a 2S""","=""1/2""",M1,"=""T8961""","=""""",
"=""674.8121""","=""0.0002""","=""674.81021""","=""0.00007""","=""160""","=""""",,"=""79885.523""","=""94700.415""","=""3d6.(5D).5s""","=""e 4D""","=""5/2""","=""3d6.(3F1).4p""","=""2D*""","=""5/2""",,"=""""","=""L18349c145""",
