obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""240.590""","=""0.020""","=""240.58834""","=""0.00013""","=""*""","=""""",,"=""32501.3990""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
"=""240.590""","=""0.020""","=""240.58834""","=""0.00013""","=""*""","=""""",,"=""32501.3990""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8h""","=""(1/2,11/2)*""","=""6""",HF,"=""""","=""L18491""",
"=""240.660""","=""0.020""","=""240.664""","=""0.010""","=""*""","=""""",,"=""32501.3990""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8g""","=""3G""","=""3""",HF,"=""""","=""L18491""",
"=""240.660""","=""0.020""","=""240.664""","=""0.010""","=""*""","=""""",,"=""32501.3990""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8g""","=""3G""","=""4""",HF,"=""""","=""L18491""",
"=""240.660""","=""0.020""","=""240.664""","=""0.010""","=""*""","=""""",,"=""32501.3990""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8g""","=""3G""","=""5""",HF,"=""""","=""L18491""",
"=""240.780""","=""0.020""","=""240.782""","=""0.017""","=""*""","=""""",,"=""32890.3267""","=""74409""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9h""","=""(1/2,9/2)*""","=""4""",E2,"=""""","=""L18491""",
"=""240.780""","=""0.020""","=""240.782""","=""0.017""","=""*""","=""""",,"=""32890.3267""","=""74409""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
"=""240.780""","=""0.020""","=""240.782""","=""0.017""","=""*""","=""""",,"=""32890.3267""","=""74409""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9h""","=""(1/2,11/2)*""","=""6""",HF,"=""""","=""L18491""",
"=""240.813""","=""0.006""","=""240.809""","=""0.003""","=""3400""","=""""",,"=""32501.3990""","=""74015.5""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.9d""","=""3D""","=""2""",,"=""""","=""L3428""",
"=""240.906""","=""0.006""","=""240.9107""","=""0.0012""","=""""","=""""",,"=""32890.3267""","=""74386.87""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.10d""","=""3D""","=""3""",,"=""""","=""L3428""",
"=""241.100""","=""0.020""","=""241.1059""","=""0.0009""","=""*""","=""""",,"=""32501.3990""","=""73964.34""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.10p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""241.548""","=""0.006""","=""241.547""","=""0.004""","=""3500""","=""""",,"=""32311.3176""","=""73698.6""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.10s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""242.182""","=""0.006""","=""242.182""","=""0.004""","=""""","=""""",,"=""32890.3267""","=""74169.0""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.11s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""242.510""","=""0.020""","=""242.54536""","=""0.00008""","=""*""","=""""",,"=""32311.3176""","=""73528.205""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7h""","=""(1/2,9/2)*""","=""4""",HF,"=""""","=""L18491""",
"=""242.510""","=""0.020""","=""242.54536""","=""0.00008""","=""*""","=""""",,"=""32311.3176""","=""73528.205""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
