"=""245.212""","=""245.21180""","=""70""","=""5.81e+05""",D,"=""223.157""","=""40991.884""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""1P*""","=""1""",,"=""T5814""","=""L3521""",
"=""250.690""","=""250.68970""","=""425""","=""5.47e+07""",B,"=""77.115""","=""39955.053""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""2""",,"=""T5814""","=""L3521""",
"=""251.432""","=""251.43156""","=""375""","=""7.39e+07""",B,"=""0.000""","=""39760.285""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4s""","=""3P*""","=""1""",,"=""T5814""","=""L3521""",
"=""251.6113""","=""251.61122""","=""500""","=""1.68e+08""",B,"=""223.157""","=""39955.053""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""3P*""","=""2""",,"=""T5814""","=""L3521""",
"=""251.9202""","=""251.92019""","=""350""","=""5.49e+07""",B,"=""77.115""","=""39760.285""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""1""",,"=""T5814""","=""L3521""",
"=""252.4108""","=""252.41077""","=""425""","=""2.22e+08""",B,"=""77.115""","=""39683.163""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""0""",,"=""T5814""","=""L3521""",
"=""252.8509""","=""252.85079""","=""450""","=""9.04e+07""",B,"=""223.157""","=""39760.285""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""3P*""","=""1""",,"=""T5814""","=""L3521""",
"=""253.2381""","=""253.23811""","=""110""","=""2.45e+07""",C,"=""15394.370""","=""54871.031""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.5s""","=""1P*""","=""1""",,"=""T5071""","=""L3521""",
"=""""","=""256.18234""","=""""","=""4.62e-03""",D,"=""6298.850""","=""45321.848""","=""3s2.3p2""","=""1D""","=""2""","=""3s.3p3""","=""3D*""","=""3""",M2,"=""c22""","=""""",
"=""256.3679""","=""256.36774""","=""30""","=""4.20e-03""",D,"=""6298.850""","=""45293.629""","=""3s2.3p2""","=""1D""","=""2""","=""3s.3p3""","=""3D*""","=""2""",M2,"=""c22""","=""L3521""",
"=""""","=""256.48246""","=""""","=""1.78e-03""",E,"=""6298.850""","=""45276.188""","=""3s2.3p2""","=""1D""","=""2""","=""3s.3p3""","=""3D*""","=""1""",M2,"=""c22""","=""""",
"=""256.8641""","=""256.86398""","=""85""","=""4.24e+06""",D,"=""15394.370""","=""54313.818""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""257.7151""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""263.1282""","=""263.12818""","=""190""","=""1.06e+08""",B,"=""15394.370""","=""53387.334""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.3d""","=""1P*""","=""1""",,"=""T5814""","=""L3521""",
"=""288.1579""","=""288.15777""","=""1000""","=""2.17e+08""",B,"=""6298.850""","=""40991.884""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4s""","=""1P*""","=""1""",,"=""T5814""","=""L3521""",
"=""297.0355""","=""297.03532""","=""55""","=""6.00e+04""",E,"=""6298.850""","=""39955.053""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4s""","=""3P*""","=""2""",,"=""T5814""","=""L3521""",
"=""298.7645""","=""298.76434""","=""150""","=""2.66e+06""",D+,"=""6298.850""","=""39760.285""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4s""","=""3P*""","=""1""",,"=""T5814""","=""L3521""",
"=""""","=""299.97808""","=""""","=""6.57e-04""",D,"=""0.000""","=""33326.053""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""5S*""","=""2""",M2,"=""c22""","=""""",
"=""300.6739""","=""300.67385""","=""50""","=""1.1e+03""",E,"=""77.115""","=""33326.053""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""5S*""","=""2""",,"=""T6066c4""","=""L3521""",
"=""""","=""300.67385""","=""""","=""1.45e-03""",D,"=""77.115""","=""33326.053""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""5S*""","=""2""",M2,"=""c22""","=""""",
"=""302.0004""","=""302.00041""","=""75""","=""3.3e+03""",E,"=""223.157""","=""33326.053""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""5S*""","=""2""",,"=""T6066c4""","=""L3521""",
"=""""","=""302.00041""","=""""","=""1.09e-03""",D,"=""223.157""","=""33326.053""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""5S*""","=""2""",M2,"=""c22""","=""""",
"=""390.5523""","=""390.55231""","=""300""","=""1.33e+07""",B,"=""15394.370""","=""40991.884""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""1P*""","=""1""",,"=""T5814""","=""L3521""",
"=""410.2936""","=""410.29359""","=""70""","=""6.09e+04""",E,"=""15394.370""","=""39760.285""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""3P*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""""","=""411.59638""","=""""","=""""",,"=""15394.370""","=""39683.163""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""3P*""","=""0""",,"=""""","=""""",
"=""""","=""472.1571""","=""""","=""3.4e+05""",D,"=""39683.163""","=""60856.630""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""""","=""473.8832""","=""""","=""1.0e+06""",D,"=""39760.285""","=""60856.630""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",,"=""T6066c4,LS""","=""""",
